"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Lat","Long","accessDate"
"108240","lake waipara at centre","nrc-00092",19575,"Polymictic","Aeolian","northland","nrc",-34.58612338,172.85376535,"09-Sep-2019"
"101033","lake waiparera at south centre","nrc-00093",13467,"Polymictic","Aeolian","northland","nrc",-34.9411733,173.1786196,"09-Sep-2019"
"101379","lake humuhumu at east centre","nrc-00073",50401,"Stratified","Aeolian","northland","nrc",-36.32900053,174.12812281,"09-Sep-2019"
"101367","lake kahuparere at centre","nrc-00074",50371,"Polymictic","Aeolian","northland","nrc",-36.36933366,174.1572856,"09-Sep-2019"
"101369","lake kanono at north centre","nrc-00076",50373,"Stratified","Aeolian","northland","nrc",-36.36484822,174.14846935,"09-Sep-2019"
"108347","lake karaka at centre","nrc-00077",50320,"Polymictic","Aeolian","northland","nrc",-36.31387494,174.03843566,"09-Sep-2019"
"100425","lake rotoroa (aupouri) at north end","nrc-00085",23681,"Polymictic","Aeolian","northland","nrc",-35.05479993,173.19736632,"09-Sep-2019"
"100593","lake mokeno at centre","nrc-00078",50314,"Polymictic","Aeolian","northland","nrc",-36.35156929,174.06071244,"09-Sep-2019"
"101373","lake rotokawau (pouto) at centre","nrc-00084",50413,"Stratified","Aeolian","northland","nrc",-36.35031805,174.14640594,"09-Sep-2019"
"101375","lake rototuna at centre","nrc-00086",50345,"Polymictic","Aeolian","northland","nrc",-36.25095316,174.04011781,"09-Sep-2019"
"108346","lake wainui at centre","nrc-00091",17761,"Stratified","Aeolian","northland","nrc",-36.10139927,173.88165958,"09-Sep-2019"
"101377","swan lake at centre","nrc-00094",50403,"Polymictic","Aeolian","northland","nrc",-36.33093177,174.14214432,"09-Sep-2019"
"101930","lake waiporohita at centre","nrc-00096",24415,"Polymictic","Aeolian","northland","nrc",-34.90141716,173.34820049,"09-Sep-2019"
"100501","lake omapere at outlet bridge (utakura river)","nrc-00095",23721,"Polymictic","Volcanic","northland","nrc",-35.35921753,173.7726193,"09-Sep-2019"
"Lake Tuakitoto at Outlet","lake tuakitoto at outlet","orc-00035",44599,"Polymictic","Riverine","otago","orc",-46.24012389,169.83285625,"09-Sep-2019"
"Lake Hawea Outflow at Dam","lake hawea outflow at dam","orc-00028",54736,"Stratified","Dam","otago","orc",-44.60996727,169.25099284,"09-Sep-2019"
"Lake Wakatipu at Outflow","lake wakatipu outflow","orc-00037",53532,"Stratified","Glacial","otago","orc",-45.02805302,168.72602684,"09-Sep-2019"
"Lake Dunstan at Dead Mans Point","lake dunstan at dead mans point","orc-00027",54737,"Polymictic","Unknown","otago","orc",-45.037581,169.21927553,"09-Sep-2019"
"Lake Wanaka at Outlet","lake wanaka outflow","orc-00038",54672,"Stratified","Glacial","otago","orc",-44.6637367,169.14910981,"09-Sep-2019"
"Lake Hayes at Bendemeer Bay","lake hayes","orc-00031",54190,"Stratified","Glacial","otago","orc",-44.98194765,168.81587539,"09-Sep-2019"
"Lake Johnson at South Beach huts","lake johnson","orc-00033",53707,"Stratified","Glacial","otago","orc",-45.00327651,168.73218701,"09-Sep-2019"
"Lake Onslow at Boat Ramp","lake onslow","orc-00034",1553,"Stratified","Dam","otago","orc",-45.55231433,169.59697872,"09-Sep-2019"
"Lake Waihola at End of jetty","lake waihola","orc-00036",44391,"Polymictic","Tectonic","otago","orc",-46.02092062,170.09340775,"09-Sep-2019"
"LRT00H300","lake rotorangi l2 (tangahoe valley rd)","trc-00053",7506,"Stratified","Dam","taranaki","trc",-39.5019070947025,174.510329558029,"09-Sep-2019"
"LRT00H450","lake rotorangi l3 (dam)","trc-00051",7506,"Stratified","Dam","taranaki","trc",-39.5413037074268,174.570438048228,"09-Sep-2019"
"LRT00P100","lake rotorangi l1 (mangamingi)","trc-00052",7506,"Stratified","Dam","taranaki","trc",-39.4357754228822,174.478631971074,"09-Sep-2019"
"LRT00P300","lake rotorangi l2 (tangahoe valley rd)","trc-00053",7506,"Stratified","Dam","taranaki","trc",-39.5019070947025,174.510329558029,"09-Sep-2019"
"LRT00P450","lake rotorangi l3 (dam)","trc-00051",7506,"Stratified","Dam","taranaki","trc",-39.5413037074268,174.570438048228,"09-Sep-2019"
"LRT00S300","lake rotorangi l2 (tangahoe valley rd)","trc-00053",7506,"Stratified","Dam","taranaki","trc",-39.4357754228822,174.478631971074,"09-Sep-2019"
"LRT00E300","lake rotorangi l2 (tangahoe valley rd)","trc-00053",7506,"Stratified","Dam","taranaki","trc",-39.5019070947025,174.510329558029,"09-Sep-2019"
"LRT00E450","lake rotorangi l3 (dam)","trc-00051",7506,"Stratified","Dam","taranaki","trc",-39.5413037074268,174.570438048228,"09-Sep-2019"
"LRT00S450","lake rotorangi l3 (dam)","trc-00051",7506,"Stratified","Dam","taranaki","trc",-39.4357754228822,174.478631971074,"09-Sep-2019"
"L Brunner @ GYB Cashmere Bay - 4m","lake brunner gybc","wcrc-00065",38974,"Stratified","Glacial","west coast","wcrc",-42.61164694,171.50053514,"09-Sep-2019"
"L Brunner @ GYB Mid Lake - 0-25m tube","l brunner @ gyb mid lake - 0-25m tube","wcrc-00064",38974,"Stratified","Glacial","west coast","wcrc",-42.62223607,171.45437105,"09-Sep-2019"
"L. Haupiri @ H2 5m","lake haupiri","wcrc-00067",39225,"Stratified","Glacial","west coast","wcrc",-42.56671108,171.68936589,"09-Sep-2019"
"37048","lake hakanoa at centre (surface)","ew-00142",49200,"Polymictic","Riverine","waikato","wrc",-37.5532726818524,175.167758709539,"09-Sep-2019"
"37164","lake maratoto at centre (surface)","ew-00143",14422,"Stratified","Peat","waikato","wrc",-37.8875509617665,175.304396992547,"09-Sep-2019"
"37270","lake rotomanuka at lake centre (surface)","ew-00145",14428,"Stratified","Peat","waikato","wrc",-37.9250484408421,175.316238028704,"09-Sep-2019"
"37415","lake waahi at centre (surface)","ew-00146",41314,"Polymictic","Riverine","waikato","wrc",-37.5710680195103,175.123325592868,"09-Sep-2019"
"37477","lake waikare at epilimnion","ew-00151",50782,"Polymictic","Riverine","waikato","wrc",-37.4304013662937,175.217390589862,"09-Sep-2019"
"37499","lake whangape at centre - buoy (surface)","ew-00147",49180,"Polymictic","Riverine","waikato","wrc",-37.463253387976,175.057851281934,"09-Sep-2019"
"37312","lake serpentine at south (surface)","ew-00150",14425,"Stratified","Peat","waikato","wrc",-37.9502408388723,175.318212692176,"09-Sep-2019"
"37322","lake serpentine at north (surface)","ew-00149",14426,"Stratified","Peat","waikato","wrc",-37.9421138388816,175.319072335233,"09-Sep-2019"
"37050","lake harihari at harihari a (surface)","ew-00144",12830,"Stratified","Aeolian","waikato","wrc",-38.2115780622915,174.722582722178,"09-Sep-2019"
"24200","lake horseshoe at rotokauri road","lawa-102303",15020,"Stratified","Peat","waikato","wrc",-37.7701683425041,175.225720128486,"09-Sep-2019"
"37039","lake areare at centre-surface","lawa-102304",15034,"Stratified","Peat","waikato","wrc",-37.668058517752,175.201205185261,"09-Sep-2019"
"37097","lake mangakaware at lake centre","lawa-102305",14405,"Stratified","Riverine","waikato","wrc",-37.9333246950716,175.219767387423,"09-Sep-2019"
