"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder"
"CO436131","ngamuwahine at 217 ngamuwahine rd","ebop-00224",4002936,"bay of plenty","boprc","upland","native","wairoa",-37.8073467609668,176.002875411371,"24-Jul-2020","IF",244,"4","4"
"EL187015","ngongotaha at ngongotaha domain","ebop-00142",4010395,"bay of plenty","boprc","upland","rural","kaituna",-38.0824793891929,176.213681360004,"24-Jul-2020","P",369.25,"5","1&5"
"DK804886","ngongotaha at paradise valley rd mci","ebop-00141",4010809,"bay of plenty","boprc","upland","rural","kaituna",-38.0948052704845,176.170569818462,"24-Jul-2020","P",370,"5","5"
"DK798891","ngongotaha at upper paradise valley rd","ebop-00220",4010809,"bay of plenty","boprc","upland","rural","kaituna",-38.0948584871426,176.169933698962,"24-Jul-2020","P",370,"5","5"
"BQ450716","ngututuru at 240 rea rd","ebop-00169",4000405,"bay of plenty","boprc","lowland","rural","te rereatukahia",-37.5774034107214,175.881980099269,"24-Jul-2020","P",326,"2","1"
"MK283728","nukuhou at old quarry","ebop-00011",4011135,"bay of plenty","boprc","lowland","rural","nukuhou",-38.079460107068,177.136212187178,"24-Jul-2020","P",20,"4","4"
"GM013930","oeuteheuheu at allport rd","ebop-00159",4005167,"bay of plenty","boprc","lowland","native","waihi estuary",-37.9043607921215,176.413535340844,"24-Jul-2020","P",106,"2","3&1"
"DM860383","ohaupara at pyes pa rd","ebop-00148",4006434,"bay of plenty","boprc","upland","native","kaituna",-37.9604047698673,176.171115319963,"24-Jul-2020","IF",431.5,"3","3&2"
"FO166207","ohineangaanga at whitehead ave","ebop-00106",4002382,"bay of plenty","boprc","lowland","urban","kaituna",-37.792181842676,176.312224551011,"24-Jul-2020","P",24.7032000224,"3","4&1"
"LL529952","ohope trib at above ohope beach school","ebop-00203",4007422,"bay of plenty","boprc","lowland","native","maraetotara coastal",-37.9724203812413,177.044471661417,"24-Jul-2020","IF",117,"1","1"
"CO982925","ohourere at crawford rd","ebop-00195",4001618,"bay of plenty","boprc","lowland","rural","wairoa",-37.7342505634673,176.061895943929,"24-Jul-2020","P",79,"3","4"
"FI646606","okaro wetland at above inlet a","ebop-00122",4018156,"bay of plenty","boprc","upland","rural","okaro",-38.2945475978815,176.389873772331,"24-Jul-2020","P",436,"2","2"
"FM217609","onaia trib at blakely pacific","lawa-100487",4005683,"bay of plenty","boprc","upland","exotic","kaituna",-37.9357875732324,176.324478153158,"24-Jul-2020","EF",187,"2","4"
"KJ836663","opurana at tuhoe forest","lawa-100502",4014567,"bay of plenty","boprc","lowland","rural","whakatane",-38.1809031125789,176.976863005085,"24-Jul-2020","EF",78.75,"2","6&2&1"
"MK668495","oruamanganui at waiotahe valley rd","lawa-100498",4012220,"bay of plenty","boprc","lowland","exotic","waiotahi",-38.0988733395737,177.181199496166,"24-Jul-2020","EF",171,"3","3"
"FD662607","otangimoana at kaingaroa","lawa-100490",4027146,"bay of plenty","boprc","upland","native","rangitaiki",-38.7441966084785,176.412859605252,"24-Jul-2020","P",620,"4","4&1"
"OK303607","otara at old east rd","ebop-00213",4011726,"bay of plenty","boprc","lowland","native","otara",-38.0820238786735,177.366534136898,"24-Jul-2020","IF",43,"5","5&1"
"OL858216","oteakona at mihaere rd","lawa-100492",4010135,"bay of plenty","boprc","lowland","native","waiaua",-38.0248806868714,177.426312700939,"24-Jul-2020","IF",53,"2","3"
"OL810173","oteakona trib at forestry rd","lawa-100493",4009810,"bay of plenty","boprc","lowland","rural","waiaua",-38.0289763041518,177.421117044503,"24-Jul-2020","EF",55,"2","2"
"EO010924","otumanga at waipunga park","ebop-00184",4001550,"bay of plenty","boprc","lowland","native","welcome bay area",-37.7312538490663,176.178403388747,"24-Jul-2020","U",40,"2","2"
"DP036592","oturu at borell rd","ebop-00186",4000905,"bay of plenty","boprc","lowland","rural","oturu",-37.6741044363331,176.065507694409,"24-Jul-2020","P",20,"3","3&1"
"EO611496","owairoa at otawa","ebop-00199",4002262,"bay of plenty","boprc","lowland","native","waitao area",-37.767912536761,176.248128178862,"24-Jul-2020","IF",234.2253723145,"2","2&1"
"KK455031","owhakatoro at te manawa o tuhoe trust","lawa-100503",4013642,"bay of plenty","boprc","lowland","rural","whakatane",-38.1492430171045,176.93168166671,"24-Jul-2020","IF",73.6666666666667,"4","4&1"
"KJ764798","paekoau at tuhoe forest","lawa-100504",4014503,"bay of plenty","boprc","lowland","exotic","whakatane",-38.1690537476177,176.967957514513,"24-Jul-2020","EF",59,"3","3"
"JI046597","pahekeheke at pokairoa rd","ebop-00123",4018298,"bay of plenty","boprc","upland","exotic","rangitaiki",-38.2834549028045,176.77785576013,"24-Jul-2020","EF",249.545454545455,"3","1&3"
"EN560731","raparapahoe at no 3 rd mci","ebop-00110",4003652,"bay of plenty","boprc","lowland","native","kaituna",-37.8369034672928,176.2453491368,"24-Jul-2020","IF",162,"3","2"
"IG109370","pekepeke at above kiorenui rd","ebop-00207",4023034,"bay of plenty","boprc","upland","exotic","rangitaiki",-38.4871500669264,176.681176290706,"24-Jul-2020","EF",277,"4","4&1"
"BN951669","piako at old kaimai rd","ebop-00197",4003788,"bay of plenty","boprc","upland","native","wairoa",-37.8502611071653,175.949472127574,"24-Jul-2020","IF",465,"2","2"
"IN023010","pikowai at pikowai rd","ebop-00135",4004837,"bay of plenty","boprc","lowland","rural","pikowai coastal",-37.8902533554933,176.641406111206,"24-Jul-2020","P",79,"3","1&3"
"HM958955","pikowai trib at pikowai rd","ebop-00136",4005050,"bay of plenty","boprc","lowland","rural","pikowai coastal",-37.8954364237882,176.634317993186,"24-Jul-2020","P",80.3333333333333,"2","1&2"
"FN962342","pokopoko at allport rd","ebop-00158",4004386,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8673874306044,176.406076551462,"24-Jul-2020","P",60.5,"3","3&2"
"GN922883","pongakawa at sh2","ebop-00016",4003250,"bay of plenty","boprc","lowland","rural","pongakawa",-37.8155217087343,176.512698416166,"24-Jul-2020","P",17,"5","2"
"GN947182","pongakawa trib at rotoehu rd","ebop-00138",4004412,"bay of plenty","boprc","lowland","rural","pongakawa",-37.8785011548187,176.518487005035,"24-Jul-2020","EF",33,"4","4"
"MK704278","ponuiahine at waiotahe valley rd","lawa-100499",4012902,"bay of plenty","boprc","lowland","exotic","waiotahi",-38.118242835778,177.186375815501,"24-Jul-2020","EF",78.5,"2","1&2"
"GN561803","puanene at sh2","ebop-00140",4003552,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8239428509772,176.472108857223,"24-Jul-2020","P",43,"3","3"
"EJ459985","puarenga at hemo gorge entrance","ebop-00117",4013676,"bay of plenty","boprc","upland","exotic","kaituna",-38.1743441623186,176.248792249875,"24-Jul-2020","P",402,"4","4"
"IG296601","rangitaiki u/s murupara","ebop-00222",4022634,"bay of plenty","boprc","upland","exotic","rangitaiki",-38.4657383202214,176.701442553696,"24-Jul-2020","EF",195.5,"7","6&1"
"CO548000","rataroa trib at soldiers rd mci","ebop-00196",4003173,"bay of plenty","boprc","lowland","rural","wairoa",-37.8187660330483,176.016127536238,"24-Jul-2020","P",238,"2","1"
"SO988959","raukokore d/s sh35","ebop-00210",4001560,"bay of plenty","boprc","lowland","native","raukokore",-37.6701786465712,177.873107700075,"24-Jul-2020","IF",22,"5","6"
"MK709674","ruakaka at waiotahe valley rd","lawa-100500",4011536,"bay of plenty","boprc","lowland","native","waiotahi",-38.0825993236717,177.184943012154,"24-Jul-2020","EF",58,"3","3"
"IK438821","ruruanga at prideaux park","ebop-00150",4010870,"bay of plenty","boprc","lowland","exotic","tarawera",-38.0856924845805,176.698437125447,"24-Jul-2020","IF",40,"4","4"
"IK358855","ruruanga at valley rd","ebop-00151",4010901,"bay of plenty","boprc","lowland","exotic","tarawera",-38.0829595284438,176.689101868119,"24-Jul-2020","IF",55.5,"4","4&2"
"BR574116","tahawai at 164 lindemann rd","ebop-00161",4000295,"bay of plenty","boprc","lowland","rural","tahawai",-37.5410882817339,175.894589690661,"24-Jul-2020","P",32,"2","2"
"OK643836","taipouri trib at above confluence","lawa-100497",4011013,"bay of plenty","boprc","upland","native","otara",-38.0599797976791,177.404019450065,"24-Jul-2020","EF",401,"1","1"
"GJ671810","tarawera at lake outlet campsite","ebop-00223",4014379,"bay of plenty","boprc","upland","native","tarawera",-38.1827885289788,176.501646950726,"24-Jul-2020","IF",531.5,"6","6"
"MI041147","tauranga at matahi valley rd","lawa-100505",4019399,"bay of plenty","boprc","lowland","native","whakatane",-38.3124365284492,177.121745020191,"24-Jul-2020","IF",318.5,"5","5"
"LK445461","tauranga at wardlaw glade","ebop-10031",4012286,"bay of plenty","boprc","lowland","native","whakatane",-38.1067352286889,177.042222589164,"24-Jul-2020","IF",224,"6","6"
"LM438047","te hiku o te tuna at ohope rd","ebop-00180",4007288,"bay of plenty","boprc","lowland","native","maraetotara coastal",-37.964198861801,177.033666467586,"24-Jul-2020","IF",58,"2","2"
"LM411039","te hiku o te tuna at opposite brown rd","ebop-00202",4007288,"bay of plenty","boprc","lowland","native","maraetotara coastal",-37.9650534643786,177.030550331285,"24-Jul-2020","IF",58,"2","2"
"BQ536514","te mania at chard rd","ebop-00170",4000448,"bay of plenty","boprc","lowland","rural","te mania",-37.5954031546565,175.892424880171,"24-Jul-2020","P",40,"2","3&1"
"CP556282","te puna trib at 257 whakamaramara rd","ebop-00194",4001172,"bay of plenty","boprc","lowland","exotic","te puna",-37.7033274624811,176.012290019307,"24-Jul-2020","P",242,"1","1"
"KL246784","te rahu canal at sh30","ebop-00132",4007917,"bay of plenty","boprc","lowland","native","whakatane",-37.9923944910398,176.899470347107,"24-Jul-2020","P",0.968735814095,"4","4"
"BQ417600","te rereatukahia at sapphire springs holiday park","ebop-00189",4000421,"bay of plenty","boprc","lowland","native","te rereatukahia",-37.5879460362261,175.878650259558,"24-Jul-2020","IF",101,"3","2"
"BQ253452","te rereatukahia trib at tuahi track","ebop-00200",4000456,"bay of plenty","boprc","upland","native","te rereatukahia",-37.6017663213706,175.860587124246,"24-Jul-2020","IF",242,"2","2"
"FL834322","te toroa trib at sh30","ebop-00152",4009316,"bay of plenty","boprc","upland","native","kaituna",-38.0495416329831,176.399858372007,"24-Jul-2020","P",322.333333333333,"2","1&2"
"BR592417","tuapiro at woodland rd mci","ebop-00225",4000229,"bay of plenty","boprc","lowland","rural","tuapiro",-37.5139237931358,175.895586779695,"24-Jul-2020","IF",104,"4","1&4"
"BR748451","tuapiro at mcmillan rd","ebop-10029",4000221,"bay of plenty","boprc","lowland","exotic","tuapiro",-37.5106652599268,175.913027253029,"24-Jul-2020","IF",45,"4","1&4"
