"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"wainono lagoon off lake road",12469,2006,6.5,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2007,6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2008,6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2009,6.3,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2010,6.4,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2011,6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2012,6.7,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2013,6.2,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2014,7,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2015,7.4,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2016,6.6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2017,6.7,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2018,6.3,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2019,6.4,"Polymictic","Shoreline"
"lake sumner off charleys point",54738,2004,1.3,"Stratified","Glacial"
"lake sumner off charleys point",54738,2005,1.3,"Stratified","Glacial"
"lake sumner off charleys point",54738,2006,1.5,"Stratified","Glacial"
"lake sumner off charleys point",54738,2007,1.6,"Stratified","Glacial"
"lake sumner off charleys point",54738,2008,2.1,"Stratified","Glacial"
"lake sumner off charleys point",54738,2009,2.3,"Stratified","Glacial"
"lake sumner off charleys point",54738,2010,2.6,"Stratified","Glacial"
"lake sumner off charleys point",54738,2011,2.2,"Stratified","Glacial"
"lake sumner off charleys point",54738,2012,2.2,"Stratified","Glacial"
"lake sumner off charleys point",54738,2013,1.9,"Stratified","Glacial"
"lake sumner off charleys point",54738,2014,1.8,"Stratified","Glacial"
"lake sumner off charleys point",54738,2015,2.1,"Stratified","Glacial"
"lake sumner off charleys point",54738,2016,1.8,"Stratified","Glacial"
"lake sumner off charleys point",54738,2017,2,"Stratified","Glacial"
"lake sumner off charleys point",54738,2018,2.6,"Stratified","Glacial"
"lake taylor mid lake",39356,2005,2,"Stratified","Glacial"
"lake taylor mid lake",39356,2006,2.1,"Stratified","Glacial"
"lake taylor mid lake",39356,2007,2.3,"Stratified","Glacial"
"lake taylor mid lake",39356,2008,2.4,"Stratified","Glacial"
"lake taylor mid lake",39356,2009,2.6,"Stratified","Glacial"
"lake taylor mid lake",39356,2010,2.5,"Stratified","Glacial"
"lake taylor mid lake",39356,2011,2.5,"Stratified","Glacial"
"lake taylor mid lake",39356,2012,2.4,"Stratified","Glacial"
"lake taylor mid lake",39356,2013,2.4,"Stratified","Glacial"
"lake taylor mid lake",39356,2014,2.3,"Stratified","Glacial"
"lake taylor mid lake",39356,2015,2.7,"Stratified","Glacial"
"lake taylor mid lake",39356,2016,2.5,"Stratified","Glacial"
"lake taylor mid lake",39356,2017,2.6,"Stratified","Glacial"
"lake taylor mid lake",39356,2018,2.2,"Stratified","Glacial"
"lake taylor mid lake",39356,2019,2.7,"Stratified","Glacial"
"lake katrine mid lake",39364,2004,2.2,"Stratified","Glacial"
"lake katrine mid lake",39364,2005,2.2,"Stratified","Glacial"
"lake katrine mid lake",39364,2006,2.2,"Stratified","Glacial"
"lake katrine mid lake",39364,2007,2.8,"Stratified","Glacial"
"lake katrine mid lake",39364,2008,3.1,"Stratified","Glacial"
"lake katrine mid lake",39364,2009,3.3,"Stratified","Glacial"
"lake katrine mid lake",39364,2010,2.8,"Stratified","Glacial"
"lake katrine mid lake",39364,2011,2.8,"Stratified","Glacial"
"lake katrine mid lake",39364,2012,2.6,"Stratified","Glacial"
"lake katrine mid lake",39364,2013,2.7,"Stratified","Glacial"
"lake katrine mid lake",39364,2014,2.4,"Stratified","Glacial"
"lake katrine mid lake",39364,2015,2.7,"Stratified","Glacial"
"lake katrine mid lake",39364,2016,2.6,"Stratified","Glacial"
"lake katrine mid lake",39364,2017,2.8,"Stratified","Glacial"
"lake katrine mid lake",39364,2018,2.7,"Stratified","Glacial"
"lake katrine mid lake",39364,2019,2.9,"Stratified","Glacial"
"lake hawdon mid lake",48669,2004,1.8,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2005,2.5,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2006,2.6,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2007,2.8,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2008,3,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2009,3.1,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2010,2.9,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2011,2.9,"Polymictic","Glacial"
"lake hawdon mid lake",48669,2012,3.2,"Polymictic","Glacial"
