"LawaID","CouncilSiteID","Agency","Parameter","Median","StateScore","ComparisonGroup","Altitude","Landuse"
"arc-00013","7904","ac","TURB",4.15,3,"site|lowland","Lowland","All"
"arc-00013","7904","ac","NH4",0.009,3,"site|lowland","Lowland","All"
"arc-00013","7904","ac","PH",7.38,1,"site|lowland","Lowland","All"
"arc-00013","7904","ac","TON",0.1095,1,"site|lowland","Lowland","All"
"arc-00013","7904","ac","TN",0.245,1,"site|lowland","Lowland","All"
"arc-00013","7904","ac","DRP",0.009,2,"site|lowland","Lowland","All"
"arc-00013","7904","ac","TP",0.0215,2,"site|lowland","Lowland","All"
"arc-00013","7904","ac","ECOLI",475,4,"site|lowland","Lowland","All"
"arc-00013","7904","ac","TURB",4.15,3,"site|rural","All","Rural"
"arc-00013","7904","ac","NH4",0.009,3,"site|rural","All","Rural"
"arc-00013","7904","ac","PH",7.38,1,"site|rural","All","Rural"
"arc-00013","7904","ac","TON",0.1095,1,"site|rural","All","Rural"
"arc-00013","7904","ac","TN",0.245,1,"site|rural","All","Rural"
"arc-00013","7904","ac","DRP",0.009,2,"site|rural","All","Rural"
"arc-00013","7904","ac","TP",0.0215,2,"site|rural","All","Rural"
"arc-00013","7904","ac","ECOLI",475,4,"site|rural","All","Rural"
"arc-00013","7904","ac","TURB",4.15,3,"site|lowland|rural","Lowland","Rural"
"arc-00013","7904","ac","NH4",0.009,3,"site|lowland|rural","Lowland","Rural"
"arc-00013","7904","ac","PH",7.38,1,"site|lowland|rural","Lowland","Rural"
"arc-00013","7904","ac","TON",0.1095,1,"site|lowland|rural","Lowland","Rural"
"arc-00013","7904","ac","TN",0.245,1,"site|lowland|rural","Lowland","Rural"
"arc-00013","7904","ac","DRP",0.009,2,"site|lowland|rural","Lowland","Rural"
"arc-00013","7904","ac","TP",0.0215,2,"site|lowland|rural","Lowland","Rural"
"arc-00013","7904","ac","ECOLI",475,4,"site|lowland|rural","Lowland","Rural"
"arc-00014","8219","ac","TURB",8.1,4,"site|All","All","All"
"arc-00014","8219","ac","NH4",0.11,4,"site|All","All","All"
"arc-00014","8219","ac","PH",7.25,2,"site|All","All","All"
"arc-00014","8219","ac","TON",1.025,4,"site|All","All","All"
"arc-00014","8219","ac","TN",1.8,4,"site|All","All","All"
"arc-00014","8219","ac","DRP",0.021,4,"site|All","All","All"
"arc-00014","8219","ac","TP",0.0865,4,"site|All","All","All"
"arc-00014","8219","ac","ECOLI",4300,4,"site|All","All","All"
"arc-00014","8219","ac","TURB",8.1,4,"site|lowland","Lowland","All"
"arc-00014","8219","ac","NH4",0.11,4,"site|lowland","Lowland","All"
"arc-00014","8219","ac","PH",7.25,1,"site|lowland","Lowland","All"
"arc-00014","8219","ac","TON",1.025,4,"site|lowland","Lowland","All"
"arc-00014","8219","ac","TN",1.8,4,"site|lowland","Lowland","All"
"arc-00014","8219","ac","DRP",0.021,3,"site|lowland","Lowland","All"
"arc-00014","8219","ac","TP",0.0865,4,"site|lowland","Lowland","All"
"arc-00014","8219","ac","ECOLI",4300,4,"site|lowland","Lowland","All"
"arc-00014","8219","ac","TURB",8.1,4,"site|urban","All","Urban"
"arc-00014","8219","ac","NH4",0.11,4,"site|urban","All","Urban"
"arc-00014","8219","ac","PH",7.25,1,"site|urban","All","Urban"
"arc-00014","8219","ac","TON",1.025,3,"site|urban","All","Urban"
"arc-00014","8219","ac","TN",1.8,4,"site|urban","All","Urban"
"arc-00014","8219","ac","DRP",0.021,3,"site|urban","All","Urban"
"arc-00014","8219","ac","TP",0.0865,4,"site|urban","All","Urban"
"arc-00014","8219","ac","ECOLI",4300,4,"site|urban","All","Urban"
"arc-00014","8219","ac","TURB",8.1,4,"site|lowland|urban","Lowland","Urban"
"arc-00014","8219","ac","NH4",0.11,4,"site|lowland|urban","Lowland","Urban"
"arc-00014","8219","ac","PH",7.25,1,"site|lowland|urban","Lowland","Urban"
"arc-00014","8219","ac","TON",1.025,3,"site|lowland|urban","Lowland","Urban"
"arc-00014","8219","ac","TN",1.8,4,"site|lowland|urban","Lowland","Urban"
"arc-00014","8219","ac","DRP",0.021,3,"site|lowland|urban","Lowland","Urban"
"arc-00014","8219","ac","TP",0.0865,4,"site|lowland|urban","Lowland","Urban"
"arc-00014","8219","ac","ECOLI",4300,4,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","TURB",3,3,"site|All","All","All"
"arc-00015","8214","ac","NH4",0.018,4,"site|All","All","All"
"arc-00015","8214","ac","PH",7.55,1,"site|All","All","All"
"arc-00015","8214","ac","TON",0.94,4,"site|All","All","All"
"arc-00015","8214","ac","TN",1.12,4,"site|All","All","All"
"arc-00015","8214","ac","DRP",0.0125,3,"site|All","All","All"
"arc-00015","8214","ac","TP",0.03,3,"site|All","All","All"
"arc-00015","8214","ac","ECOLI",940,4,"site|All","All","All"
"arc-00015","8214","ac","TURB",3,3,"site|lowland","Lowland","All"
"arc-00015","8214","ac","NH4",0.018,3,"site|lowland","Lowland","All"
"arc-00015","8214","ac","PH",7.55,1,"site|lowland","Lowland","All"
"arc-00015","8214","ac","TON",0.94,4,"site|lowland","Lowland","All"
"arc-00015","8214","ac","TN",1.12,3,"site|lowland","Lowland","All"
"arc-00015","8214","ac","DRP",0.0125,3,"site|lowland","Lowland","All"
"arc-00015","8214","ac","TP",0.03,3,"site|lowland","Lowland","All"
"arc-00015","8214","ac","ECOLI",940,4,"site|lowland","Lowland","All"
"arc-00015","8214","ac","TURB",3,2,"site|urban","All","Urban"
"arc-00015","8214","ac","NH4",0.018,2,"site|urban","All","Urban"
"arc-00015","8214","ac","PH",7.55,1,"site|urban","All","Urban"
"arc-00015","8214","ac","TON",0.94,3,"site|urban","All","Urban"
"arc-00015","8214","ac","TN",1.12,3,"site|urban","All","Urban"
"arc-00015","8214","ac","DRP",0.0125,2,"site|urban","All","Urban"
"arc-00015","8214","ac","TP",0.03,2,"site|urban","All","Urban"
"arc-00015","8214","ac","ECOLI",940,4,"site|urban","All","Urban"
"arc-00015","8214","ac","TURB",3,2,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","NH4",0.018,2,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","PH",7.55,1,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","TON",0.94,3,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","TN",1.12,3,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","DRP",0.0125,2,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","TP",0.03,2,"site|lowland|urban","Lowland","Urban"
"arc-00015","8214","ac","ECOLI",940,4,"site|lowland|urban","Lowland","Urban"
"arc-00016","8205","ac","TURB",7.6,4,"site|All","All","All"
"arc-00016","8205","ac","NH4",0.012,3,"site|All","All","All"
"arc-00016","8205","ac","PH",7.61,1,"site|All","All","All"
"arc-00016","8205","ac","TON",0.169,2,"site|All","All","All"
"arc-00016","8205","ac","TN",0.67,3,"site|All","All","All"
"arc-00016","8205","ac","DRP",0.015,3,"site|All","All","All"
"arc-00016","8205","ac","TP",0.046,4,"site|All","All","All"
"arc-00016","8205","ac","ECOLI",800,4,"site|All","All","All"
"arc-00016","8205","ac","TURB",7.6,4,"site|lowland","Lowland","All"
"arc-00016","8205","ac","NH4",0.012,3,"site|lowland","Lowland","All"
"arc-00016","8205","ac","PH",7.61,1,"site|lowland","Lowland","All"
"arc-00016","8205","ac","TON",0.169,2,"site|lowland","Lowland","All"
"arc-00016","8205","ac","TN",0.67,3,"site|lowland","Lowland","All"
"arc-00016","8205","ac","DRP",0.015,3,"site|lowland","Lowland","All"
"arc-00016","8205","ac","TP",0.046,3,"site|lowland","Lowland","All"
"arc-00016","8205","ac","ECOLI",800,4,"site|lowland","Lowland","All"
"arc-00016","8205","ac","TURB",7.6,4,"site|urban","All","Urban"
"arc-00016","8205","ac","NH4",0.012,1,"site|urban","All","Urban"
"arc-00016","8205","ac","PH",7.61,1,"site|urban","All","Urban"
"arc-00016","8205","ac","TON",0.169,1,"site|urban","All","Urban"
"arc-00016","8205","ac","TN",0.67,2,"site|urban","All","Urban"
