"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder","AltitudeCl"
"JI046597","pahekeheke at pokairoa rd","ebop-00123",4018298,"bay of plenty","boprc","upland","forest","rangitaiki",-38.2834549028045,176.77785576013,"25-Jun-2020","Forest",249.545454545455,"3","1&3","Upland"
"EN560731","raparapahoe at no. 3 rd","ebop-00110",4003652,"bay of plenty","boprc","lowland","forest","kaituna",-37.8369034672928,176.2453491368,"25-Jun-2020","Forest",162,"3","2","Upland"
"IG109370","pekepeke at above kiorenui rd","ebop-00207",4023034,"bay of plenty","boprc","upland","forest","rangitaiki",-38.4871500669264,176.681176290706,"25-Jun-2020","Forest",277,"4","4&1","Upland"
"BN951669","piako at old kaimai rd","ebop-00197",4003788,"bay of plenty","boprc","upland","forest","wairoa",-37.8502611071653,175.949472127574,"25-Jun-2020","Forest",465,"2","2","Upland"
"IN023010","pikowai at pikowai rd","ebop-00135",4004837,"bay of plenty","boprc","lowland","rural","pikowai coastal",-37.8902533554933,176.641406111206,"25-Jun-2020","Rural",79,"3","1&3","Lowland"
"HM958955","pikowai trib. at pikowai rd","ebop-00136",4005050,"bay of plenty","boprc","lowland","rural","pikowai coastal",-37.8954364237882,176.634317993186,"25-Jun-2020","Rural",80.3333333333333,"2","1&2","Lowland"
"FN962342","pokopoko at allport rd","ebop-00158",4004386,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8673874306044,176.406076551462,"25-Jun-2020","Rural",60.5,"3","3&2","Lowland"
"GN947182","pongakawa trib at rotoehu rd","ebop-00138",4004412,"bay of plenty","boprc","lowland","rural","pongakawa",-37.8785011548187,176.518487005035,"25-Jun-2020","Forest",33,"4","4","Lowland"
"MK704278","ponuiahine at waiotahi valley rd","lawa-100499",4012902,"bay of plenty","boprc","lowland","forest","waiotahi",-38.118242835778,177.186375815501,"25-Jun-2020","Forest",78.5,"2","1&2","Lowland"
"GN561803","puanene at state highway 2","ebop-00140",4003552,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8239428509772,176.472108857223,"25-Jun-2020","Rural",43,"3","3","Lowland"
"EJ459985","puarenga at hemo gorge entrance","ebop-00117",4013676,"bay of plenty","boprc","upland","forest","kaituna",-38.1743441623186,176.248792249875,"25-Jun-2020","Rural",402,"4","4","Upland"
"IG296601","rangitaiki at kiorenui village","ebop-00222",4022634,"bay of plenty","boprc","upland","forest","rangitaiki",-38.4657383202214,176.701442553696,"25-Jun-2020","Forest",195.5,"7","6&1","Upland"
"CO548000","rataroa trib. at soliders rd","ebop-00196",4003173,"bay of plenty","boprc","lowland","rural","wairoa",-37.8187660330483,176.016127536238,"25-Jun-2020","Rural",238,"2","1","Upland"
"SO988959","raukokore at sh 35","ebop-00210",4001560,"bay of plenty","boprc","lowland","forest","raukokore",-37.6701786465712,177.873107700075,"25-Jun-2020","Forest",22,"5","6","Lowland"
"MK709674","ruakaka at waiotahi valley rd","lawa-100500",4011536,"bay of plenty","boprc","lowland","forest","waiotahi",-38.0825993236717,177.184943012154,"25-Jun-2020","Forest",58,"3","3","Lowland"
"IK438821","ruruanga at prideaux park","ebop-00150",4010870,"bay of plenty","boprc","lowland","forest","tarawera",-38.0856924845805,176.698437125447,"25-Jun-2020","Forest",40,"4","4","Lowland"
"IK358855","ruruanga at valley rd","ebop-00151",4010901,"bay of plenty","boprc","lowland","forest","tarawera",-38.0829595284438,176.689101868119,"25-Jun-2020","Forest",55.5,"4","4&2","Lowland"
"BR574116","tahawai at 164 lindemann rd","ebop-00161",4000295,"bay of plenty","boprc","lowland","rural","tahawai",-37.5410882817339,175.894589690661,"25-Jun-2020","Rural",32,"2","2","Lowland"
"OK643836","taipouri trib. at above confluence","lawa-100497",4011013,"bay of plenty","boprc","upland","forest","otara",-38.0599797976791,177.404019450065,"25-Jun-2020","Forest",401,"1","1","Upland"
"GJ671810","tarawera at lake outlet campsite","ebop-00223",4014379,"bay of plenty","boprc","upland","forest","tarawera",-38.1827885289788,176.501646950726,"25-Jun-2020","Forest",531.5,"6","6","Upland"
"MI041147","tauranga at matahi valley rd","lawa-100505",4019399,"bay of plenty","boprc","lowland","forest","whakatane",-38.3124365284492,177.121745020191,"25-Jun-2020","Forest",318.5,"5","5","Upland"
