"LawaSiteID","Year","Measurement","Value","LFENZID","SiteID","Agency","Region","Long","Lat","LType","GeomorphicLType"
"ebop-00090",2005,"TLI",NA,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2006,"TLI",3.6149391587781,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2007,"TLI",NA,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2008,"TLI",NA,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2009,"TLI",3.85230763836698,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2010,"TLI",3.88991382698197,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2011,"TLI",3.68427050494122,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2012,"TLI",3.63268998101678,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2013,"TLI",3.56607404164524,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2014,"TLI",3.45737381472187,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2015,"TLI",3.2941796442365,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2016,"TLI",3.42482919226687,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2017,"TLI",3.61999048149786,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2018,"TLI",4.11662402453811,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00090",2019,"TLI",3.741302125233,40071,"lake rerewhakaaitu at site 1 (integrated)","boprc","bay of plenty",176.500660159196,-38.2876822849198,"Polymictic","Volcanic"
"ebop-00091",2005,"TLI",NA,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
"ebop-00091",2006,"TLI",4.42552580244092,40188,"lake rotoehu at site 3 (integrated)","boprc","bay of plenty",176.534936227251,-38.0243948262179,"Polymictic","Volcanic"
