"LawaSiteID","Measurement","median","MAD","count","minPerYear","nYear","nQuart","nMonth","censoredCount","CenType","Frequency","censoredPropn","censMedian","EcoliDetect","EcoliDetectAtAll","meas","Exclude","Source"
"GW-00243","Ammoniacal nitrogen",0.77,0.0499999999999999,19,3,5,4,6,0,"0","quarterly",0,"0.77",NA,NA,"NH4",FALSE,"Wellington"
"GW-00243","Chloride",77,11,19,3,5,4,6,0,"0","quarterly",0,"77",NA,NA,"Cl",FALSE,"Wellington"
"GW-00243","Dissolved reactive phosphorus",0.42,0.1,19,3,5,4,6,0,"0","quarterly",0,"0.42",NA,NA,"DRP",FALSE,"Wellington"
"GW-00243","Electrical conductivity/salinity",565,38,19,3,5,4,6,0,"0","quarterly",0,"565",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00243","Nitrate nitrogen",0.01,0.003,19,3,5,4,6,13,"<","quarterly",0.684210526315789,"<0.02",NA,NA,"NO3",FALSE,"Wellington"
"GW-00249","Ammoniacal nitrogen",0.31,0.00906119999999999,20,3,5,4,8,0,"0","quarterly",0,"0.31",NA,NA,"NH4",FALSE,"Wellington"
"GW-00249","Chloride",117,5.21145,20,3,5,4,8,0,"0","quarterly",0,"117",NA,NA,"Cl",FALSE,"Wellington"
"GW-00249","Dissolved reactive phosphorus",0.35947555,0.09,20,3,5,4,8,0,"0","quarterly",0,"0.35947555",NA,NA,"DRP",FALSE,"Wellington"
"GW-00249","Electrical conductivity/salinity",625,6.09384999999997,20,3,5,4,8,0,"0","quarterly",0,"625",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00249","Nitrate nitrogen",0.00675475,0.0045,20,3,5,4,8,18,"<","quarterly",0.9,"<0.0135095",NA,NA,"NO3",FALSE,"Wellington"
"GW-00251","Ammoniacal nitrogen",0.005,0,20,4,5,4,6,20,"<","quarterly",1,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00251","Chloride",16.9,0.537949999999999,20,4,5,4,6,0,"0","quarterly",0,"16.9",NA,NA,"Cl",FALSE,"Wellington"
"GW-00251","Dissolved reactive phosphorus",0.013,0.00138875,20,4,5,4,6,1,"0","quarterly",0.05,"0.013",NA,NA,"DRP",FALSE,"Wellington"
"GW-00251","E.coli",0.5,0,20,4,5,4,6,20,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00251","Electrical conductivity/salinity",170.95,3.44999999999999,20,4,5,4,6,0,"0","quarterly",0,"170.95",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00251","Nitrate nitrogen",3.2897892,0.46017795,20,4,5,4,6,0,"0","quarterly",0,"3.2897892",NA,NA,"NO3",FALSE,"Wellington"
"HBRC-00147","Chloride",18.75,0.800000000000001,20,4,5,4,4,0,"0","quarterly",0,"18.75",NA,NA,"Cl",FALSE,"Hawkes Bay"
"HBRC-00147","Dissolved reactive phosphorus",0.255,0.055,20,4,5,4,4,2,"0","quarterly",0.1,"0.255",NA,NA,"DRP",FALSE,"Hawkes Bay"
"HBRC-00147","E.coli",0.5,0,19,3,5,4,4,16,"<","quarterly",0.842105263157895,"<1","2","1","ECOLI",FALSE,"Hawkes Bay"
"HBRC-00147","Electrical conductivity/salinity",360.5,21.35,20,4,5,4,4,0,"0","quarterly",0,"360.5",NA,NA,"NaCl",FALSE,"Hawkes Bay"
"HBRC-00147","Nitrate nitrogen",0.01,0.0065,20,4,5,4,4,11,"<","quarterly",0.55,"<0.02",NA,NA,"NO3",FALSE,"Hawkes Bay"
"HBRC-00148","Chloride",7.3,0.2,15,0,4,4,4,0,"0","quarterly",0,"7.3",NA,NA,"Cl",FALSE,"Hawkes Bay"
"HBRC-00148","Dissolved reactive phosphorus",0.014,0.002,15,0,4,4,4,0,"0","quarterly",0,"0.014",NA,NA,"DRP",FALSE,"Hawkes Bay"
"HBRC-00148","E.coli",0.5,0,15,0,4,4,4,15,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Hawkes Bay"
"HBRC-00148","Electrical conductivity/salinity",139.9,4.59999999999999,15,0,4,4,4,0,"0","quarterly",0,"139.9",NA,NA,"NaCl",FALSE,"Hawkes Bay"
"HBRC-00148","Nitrate nitrogen",0.43,0.04,15,0,4,4,4,0,"0","quarterly",0,"0.43",NA,NA,"NO3",FALSE,"Hawkes Bay"
"HBRC-00155","Chloride",60,2.5,18,3,5,4,5,0,"0","quarterly",0,"60",NA,NA,"Cl",FALSE,"Hawkes Bay"
"HBRC-00155","Dissolved reactive phosphorus",0.097,0.0105,18,3,5,4,5,0,"0","quarterly",0,"0.097",NA,NA,"DRP",FALSE,"Hawkes Bay"
"HBRC-00155","E.coli",0.5,0,18,3,5,4,5,18,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Hawkes Bay"
"HBRC-00155","Electrical conductivity/salinity",637,42,18,3,5,4,5,0,"0","quarterly",0,"637",NA,NA,"NaCl",FALSE,"Hawkes Bay"
"HBRC-00155","Nitrate nitrogen",0.0115,0.0105,18,3,5,4,5,5,"0","quarterly",0.277777777777778,"0.0115",NA,NA,"NO3",FALSE,"Hawkes Bay"
"HBRC-00159","Chloride",104,3,29,0,4,4,12,0,"0","monthly",0,"104",NA,NA,"Cl",FALSE,"Hawkes Bay"
"HBRC-00159","Dissolved reactive phosphorus",0.0045,0.0025,30,0,4,4,12,12,"0","monthly",0.4,"0.0045",NA,NA,"DRP",FALSE,"Hawkes Bay"
"HBRC-00159","E.coli",0.5,0,29,0,4,4,12,29,"<","monthly",1,"<1","2","2","ECOLI",FALSE,"Hawkes Bay"
"HBRC-00159","Electrical conductivity/salinity",909.5,18,30,1,5,4,12,0,"0","monthly",0,"909.5",NA,NA,"NaCl",FALSE,"Hawkes Bay"
"HBRC-00159","Nitrate nitrogen",0.001,0,29,0,4,4,12,18,"<","monthly",0.620689655172414,"<0.002",NA,NA,"NO3",FALSE,"Hawkes Bay"
"HBRC-00160","Chloride",12,0.199999999999999,19,3,5,4,4,0,"0","quarterly",0,"12",NA,NA,"Cl",FALSE,"Hawkes Bay"
"HBRC-00160","Dissolved reactive phosphorus",1.42,0.11,19,3,5,4,4,0,"0","quarterly",0,"1.42",NA,NA,"DRP",FALSE,"Hawkes Bay"
"HBRC-00160","E.coli",0.5,0,20,3,5,4,4,17,"<","quarterly",0.85,"<1","2","1","ECOLI",FALSE,"Hawkes Bay"
"HBRC-00160","Electrical conductivity/salinity",192.3,9.20000000000002,19,3,5,4,4,0,"0","quarterly",0,"192.3",NA,NA,"NaCl",FALSE,"Hawkes Bay"
"HBRC-00160","Nitrate nitrogen",0.073,0.069,19,3,5,4,4,1,"0","quarterly",0.0526315789473684,"0.073",NA,NA,"NO3",FALSE,"Hawkes Bay"
"HBRC-00165","Chloride",6.05,0.35,20,4,5,4,4,0,"0","quarterly",0,"6.05",NA,NA,"Cl",FALSE,"Hawkes Bay"
"HBRC-00165","Dissolved reactive phosphorus",0.0395,0.0015,20,4,5,4,4,0,"0","quarterly",0,"0.0395",NA,NA,"DRP",FALSE,"Hawkes Bay"
"HBRC-00165","E.coli",0.5,0,20,4,5,4,4,20,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Hawkes Bay"
"HBRC-00165","Electrical conductivity/salinity",137.15,5.85000000000002,20,4,5,4,4,0,"0","quarterly",0,"137.15",NA,NA,"NaCl",FALSE,"Hawkes Bay"
"HBRC-00165","Nitrate nitrogen",0.0575,0.009,20,4,5,4,4,0,"0","quarterly",0,"0.0575",NA,NA,"NO3",FALSE,"Hawkes Bay"
"LAWA- 102261","Ammoniacal nitrogen",0.05,0.01,17,1,5,4,4,0,"0","quarterly",0,"0.05",NA,NA,"NH4",FALSE,"Tasman"
