"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype"
"lake dunstan at dead mans point","14-Jul-14",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","14-Jul-14",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","14-Jul-14",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","14-Jul-14",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","14-Jul-14",7.6,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Jun-12",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","14-Jun-12",0.012,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Jun-12",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","14-Jun-12",2,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Jun-12",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","14-Jun-12",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-14",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","15-Apr-14",0.014,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-14",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","15-Apr-14",11,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-14",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","15-Apr-14",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-15",0.005,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","15-Apr-15",0.008,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-15",0.092,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-15",0.98,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-15",23,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Apr-15",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Dec-08",0.005,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","15-Dec-08",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","15-Dec-08",0.07,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Dec-08",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","15-Dec-08",4,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Dec-08",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Feb-05",0.005,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","15-Feb-05",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","15-Feb-05",0.06,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Feb-05",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","15-Feb-05",4,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jan-19",0.0019,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jan-19",0.004,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jan-19",0.005,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jan-19",0.047,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jan-19",3,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jan-19",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jun-06",0.01,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jun-06",0.014,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jun-06",0.13,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","15-Jun-06",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","15-Jun-06",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","15-Mar-07",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","16-Apr-19",0.001,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Apr-19",0.004,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Apr-19",0.008,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Apr-19",0.073,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Apr-19",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Apr-19",9,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Aug-06",0.009,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Aug-06",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-06",0.07,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Aug-06",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-06",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-13",0.004,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-13",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-13",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-13",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-13",4,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","16-Aug-13",7.8,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Dec-13",0.004,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","16-Dec-13",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","16-Dec-13",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","16-Dec-13",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","16-Dec-13",4,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Dec-13",7.8,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Feb-12",0.004,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","16-Feb-12",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","16-Feb-12",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","16-Feb-12",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","16-Feb-12",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","16-Feb-12",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Jan-07",2,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","16-Jun-05",0.005,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","16-Jun-05",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","16-Jun-05",0.11,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Jun-05",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","16-Jun-05",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","16-Jun-05",7.51,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","16-Jun-09",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","16-Jun-09",0.015,"","TP",FALSE,"FALSE"
