"LAWAID","SiteName","Year","Parameter","Value","Band"
"es-00043","Upukerora River at Te Anau Milford Road","2015to2019","AmmoniacalMed",0.00340136054421769,NA
"es-00044","Mimihau Stream at Wyndham","2015to2019","AmmoniacalMed",0.00306748466257669,NA
"es-00045","Mararoa River at The Key","2015to2019","AmmoniacalMed",0.00279329608938547,NA
"es-00046","Otapiri Stream at Otapiri Gorge","2015to2019","AmmoniacalMed",0.00340136054421769,NA
"es-00047","Makarewa River at Lora Gorge Road","2015to2019","AmmoniacalMed",0.005,NA
"es-00048","Bog Burn d/s Hundred Line Road","2015to2019","AmmoniacalMed",0.00920245398773006,NA
"es-00049","Tussock Creek at Cooper Road","2015to2019","AmmoniacalMed",0.0294779012664771,NA
"es-00051","Pourakino River at Traill Road","2015to2019","AmmoniacalMed",0.0051792828685259,NA
"es-00052","Opouriki Stream at Tweedie Road","2015to2019","AmmoniacalMed",0.0131578947368421,NA
"es-00053","Otautau Stream at Waikouro","2015to2019","AmmoniacalMed",0.018,NA
"es-00054","Mokotua Stream at Awarua","2015to2019","AmmoniacalMed",0.00174825174825175,NA
"es-00057","Carran Creek at Waituna Lagoon Road","2015to2019","AmmoniacalMed",0.018006993006993,NA
"es-00061","Orauea River at Orawia Pukemaori Road","2015to2019","AmmoniacalMed",0.005,NA
"es-00062","Whitestone River d/s Manapouri-Hillside","2015to2019","AmmoniacalMed",0.00279329608938547,NA
"es-00064","Tokanui River at Fortrose Otara Road","2015to2019","AmmoniacalMed",0.00969266445533801,NA
"es-00065","Longridge Stream at Sandstone","2015to2019","AmmoniacalMed",0.0076555023923445,NA
"es-00067","North Peak Stream at Waimea Valley Road","2015to2019","AmmoniacalMed",0.00669979776056824,NA
"es-00068","Sandstone Stream at Kingston Crossing Rd","2015to2019","AmmoniacalMed",0.00381679389312977,NA
"es-00072","Aparima River at Thornbury","2015to2019","AmmoniacalMed",0.00381679389312977,NA
"es-00102","DN5","2015to2019","AmmoniacalMed",0.0120488173668863,NA
"es-00106","Moffat Creek at Moffat Road","2015to2019","AmmoniacalMed",0.0119521912350598,NA
"es-00112","Oreti River at Wallacetown","2015to2019","AmmoniacalMed",0.00306748466257669,NA
"es-00121","Waiau River at Sunnyside","2015to2019","AmmoniacalMed",0.00515463917525773,NA
"es-00130","Waimea Stream at Mandeville","2015to2019","AmmoniacalMed",0.00988107070637831,NA
"es-00135","Waituna Creek at Marshall Road","2015to2019","AmmoniacalMed",0.00797838525111252,NA
"es-00163","Dipton Stream at South Hillend-Dipton Road","2015to2019","AmmoniacalMed",0.00279329608938547,NA
"es-00164","Hamilton Burn at Affleck Road","2015to2019","AmmoniacalMed",0.00279329608938547,NA
"es-00165","Hedgehope Stream 20m u/s Makarewa Confl","2015to2019","AmmoniacalMed",0.0111915754854215,NA
"es-00166","Lill Burn at Lill Burn-Monowai Road","2015to2019","AmmoniacalMed",0.00381679389312977,NA
"es-00167","Wairaki River ds Blackmount Road","2015to2019","AmmoniacalMed",0.00306748466257669,NA
"ew-00001","14393","2015to2019","AmmoniacalMed",0.00558659217877095,NA
"ew-00002","14395","2015to2019","AmmoniacalMed",0.00614011036090071,NA
"ew-00003","14419","2015to2019","AmmoniacalMed",0.0224091795144427,NA
"ew-00004","14435","2015to2019","AmmoniacalMed",0.033412213740458,NA
"ew-00005","24166","2015to2019","AmmoniacalMed",0.00452488687782805,NA
"ew-00006","24172","2015to2019","AmmoniacalMed",0.00515463917525773,NA
"ew-00007","36706","2015to2019","AmmoniacalMed",0.00970896266742662,NA
"ew-00008","36745","2015to2019","AmmoniacalMed",0.0102659402557828,NA
"ew-00009","36768","2015to2019","AmmoniacalMed",0.00452488687782805,NA
