"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-102577","M36/2284","Dissolved reactive phosphorus","2015-11-24","2019-12-03","5","0.0128","0.0144"
"LAWA-102577","M36/2284","E.coli","2015-11-24","2019-12-03","5","0.5","0.5"
"LAWA-102577","M36/2284","Electrical conductivity/salinity","2015-11-24","2019-12-03","5","142","146"
"LAWA-102577","M36/2284","Nitrate nitrogen","2015-11-24","2019-12-03","5","2.1","2.2"
"LAWA-102577","M36/2284","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102183","M36/2285","Ammoniacal nitrogen","2015-10-13","2019-10-31","6","0.005","0.028"
"LAWA-102183","M36/2285","Chloride","2015-01-14","2019-10-31","20","18.7","28"
"LAWA-102183","M36/2285","Dissolved reactive phosphorus","2015-10-13","2019-10-31","6","5e-04","0.0048"
"LAWA-102183","M36/2285","E.coli","2015-01-14","2019-10-31","20","0.5","0.5"
"LAWA-102183","M36/2285","Electrical conductivity/salinity","2015-01-14","2019-10-31","20","245","357"
"LAWA-102183","M36/2285","Nitrate nitrogen","2015-01-14","2019-10-31","20","4.6","10.3"
"LAWA-102183","M36/2285","Nitrogen - Other","2018-01-25","2019-01-22","2","0.001","0.05"
"LAWA-102578","M36/2679","Ammoniacal nitrogen","2015-10-14","2019-11-04","5","0.005","0.005"
"LAWA-102578","M36/2679","Chloride","2015-10-14","2019-11-04","5","6.7","7.5"
"LAWA-102578","M36/2679","Dissolved reactive phosphorus","2015-10-14","2019-11-04","5","0.0154","0.0162"
"LAWA-102578","M36/2679","E.coli","2015-10-14","2019-11-04","5","0.5","3"
"LAWA-102578","M36/2679","Electrical conductivity/salinity","2015-10-14","2019-11-04","5","139","142"
"LAWA-102578","M36/2679","Nitrate nitrogen","2015-10-14","2019-11-04","5","0.52","0.58"
"LAWA-102578","M36/2679","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102579","M36/2857","Ammoniacal nitrogen","2015-10-14","2018-11-12","4","0.005","0.005"
"LAWA-102579","M36/2857","Chloride","2015-10-14","2018-11-12","4","8.2","8.9"
"LAWA-102579","M36/2857","Dissolved reactive phosphorus","2015-10-14","2018-11-12","4","0.0124","0.0147"
"LAWA-102579","M36/2857","E.coli","2015-10-14","2018-11-12","4","0.5","0.5"
"LAWA-102579","M36/2857","Electrical conductivity/salinity","2015-10-14","2018-11-12","4","139","140"
"LAWA-102579","M36/2857","Nitrate nitrogen","2015-10-14","2018-11-12","4","1.49","1.58"
"LAWA-102579","M36/2857","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102581","M36/3467","Ammoniacal nitrogen","2015-10-15","2019-11-21","5","0.005","0.005"
"LAWA-102581","M36/3467","Chloride","2015-10-15","2019-11-21","5","7.6","8.4"
"LAWA-102581","M36/3467","Dissolved reactive phosphorus","2015-10-15","2019-11-21","5","0.0164","0.0195"
"LAWA-102581","M36/3467","E.coli","2015-10-15","2019-11-21","5","0.5","0.5"
"LAWA-102581","M36/3467","Electrical conductivity/salinity","2015-10-15","2019-11-21","5","168","170"
"LAWA-102581","M36/3467","Nitrate nitrogen","2015-10-15","2019-11-21","5","0.59","0.67"
"LAWA-102581","M36/3467","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102582","M36/3588","Ammoniacal nitrogen","2015-10-14","2019-11-21","5","0.025","0.126"
"LAWA-102582","M36/3588","Chloride","2015-10-14","2019-11-21","5","21","27"
"LAWA-102582","M36/3588","Dissolved reactive phosphorus","2015-10-14","2019-11-21","5","0.0011","0.0038"
"LAWA-102582","M36/3588","E.coli","2015-10-14","2019-11-21","5","0.5","11"
"LAWA-102582","M36/3588","Electrical conductivity/salinity","2015-10-14","2019-11-21","5","268","296"
"LAWA-102582","M36/3588","Nitrate nitrogen","2015-10-14","2019-11-21","5","6.3","7.4"
"LAWA-102582","M36/3588","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102583","M36/3712","Ammoniacal nitrogen","2015-10-15","2019-11-04","5","0.005","0.01"
"LAWA-102583","M36/3712","Chloride","2015-10-15","2019-11-04","5","6.8","7.9"
"LAWA-102583","M36/3712","Dissolved reactive phosphorus","2015-10-15","2019-11-04","5","0.0131","0.0148"
"LAWA-102583","M36/3712","E.coli","2015-10-15","2019-11-04","5","0.5","0.5"
"LAWA-102583","M36/3712","Electrical conductivity/salinity","2015-10-15","2019-11-04","5","147","151"
"LAWA-102583","M36/3712","Nitrate nitrogen","2015-10-15","2019-11-04","5","0.44","0.56"
"LAWA-102583","M36/3712","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102584","M36/3791","Ammoniacal nitrogen","2015-11-24","2019-12-09","5","0.005","0.014"
"LAWA-102584","M36/3791","Chloride","2015-11-24","2019-12-09","5","6.4","7"
"LAWA-102584","M36/3791","Dissolved reactive phosphorus","2015-11-24","2019-12-09","5","0.0097","0.0124"
"LAWA-102584","M36/3791","E.coli","2015-11-24","2019-12-09","5","0.5","0.5"
"LAWA-102584","M36/3791","Electrical conductivity/salinity","2015-11-24","2019-12-09","5","134","138"
"LAWA-102584","M36/3791","Nitrate nitrogen","2015-11-24","2019-12-09","5","1.38","1.44"
"LAWA-102584","M36/3791","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102184","M36/4126","Ammoniacal nitrogen","2015-10-05","2019-10-17","6","0.005","0.005"
"LAWA-102184","M36/4126","Chloride","2015-01-13","2019-12-16","58","7.3","17.4"
"LAWA-102184","M36/4126","Dissolved reactive phosphorus","2015-10-05","2019-10-17","6","5e-04","0.0038"
"LAWA-102184","M36/4126","E.coli","2015-01-13","2019-12-16","57","0.5","3"
"LAWA-102184","M36/4126","Electrical conductivity/salinity","2015-01-13","2019-12-16","58","164","248"
"LAWA-102184","M36/4126","Nitrate nitrogen","2015-01-13","2019-12-16","58","3.1","8.2"
"LAWA-102184","M36/4126","Nitrogen - Other","2018-04-16","2018-05-18","2","0.001","0.001"
"LAWA-102185","M36/4227","Ammoniacal nitrogen","2015-10-13","2019-10-31","6","0.005","0.005"
"LAWA-102185","M36/4227","Chloride","2015-01-14","2019-10-31","18","15.7","24"
"LAWA-102185","M36/4227","Dissolved reactive phosphorus","2015-10-13","2019-10-31","6","0.0027","0.0036"
"LAWA-102185","M36/4227","E.coli","2015-01-14","2019-10-31","17","0.5","0.5"
"LAWA-102185","M36/4227","Electrical conductivity/salinity","2015-01-14","2019-10-31","18","243","305"
"LAWA-102185","M36/4227","Nitrate nitrogen","2015-01-14","2019-10-31","18","6.2","8.9"
"LAWA-102185","M36/4227","Nitrogen - Other","2017-09-20","2019-01-22","2","0.001","0.05"
"LAWA-102585","M36/4788","Ammoniacal nitrogen","2015-10-14","2019-11-21","6","0.005","0.01"
"LAWA-102585","M36/4788","Chloride","2015-01-14","2019-11-21","14","16.3","23"
"LAWA-102585","M36/4788","Dissolved reactive phosphorus","2015-10-14","2019-11-21","6","0.0033","0.0051"
"LAWA-102585","M36/4788","E.coli","2015-01-14","2019-11-21","14","0.5","0.5"
"LAWA-102585","M36/4788","Electrical conductivity/salinity","2015-01-14","2019-11-21","14","237","282"
"LAWA-102585","M36/4788","Nitrate nitrogen","2015-01-14","2019-11-21","14","3.7","4.9"
"LAWA-102585","M36/4788","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
