"LawaSiteID","CouncilSiteID","Year","Total_Nitrogen","Tot_Nitr_Band","NitrateAnalysisNote","Total_Phosphorus","Tot_Phos_Band","PhosphorusAnalysisNote","AmmoniacalMed","Med_Ammoniacal_Band","Max_Ammoniacal","Max_Ammoniacal_Band","Ammonia_Toxicity_Band","AmmoniaAnalysisNote","Median_Clarity","Med_Clarity_Band","ClarityAnalysisNote","Median_ChlA","Med_ChlA_Band","Max_ChlA","Max_ChlA_Band","ChlASummaryBand","ChlAAnalysisNote","E_coli_Period","E_coli_Median","E_coli_band","E_coli95","E_coli95_band","E_coliRecHealth540","E_coliRecHealth540_Band","E_coliRecHealth260","E_coliRecHealth260_Band","E_coliSummaryband","E_coliAnalysisNote","Agency","Region","SiteID"
"hrc-00335","Lake Pauri Composite","Overall",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA," Need 30 nitrate values for overall median, have 16",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall 95%ile, have 16",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 16 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 14","hrc","horizons","lake pauri composite"
"hrc-00337","Lake Wiritoa Composite","Overall",NA,NA," Need 30 nitrate values for overall median, have 12",NA,NA," Need 30 nitrate values for overall median, have 12",NA,NA,NA,NA,NA," Need 30 values for overall median, have 12 Need 30 values for overall 95%ile, have 12",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 12 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 12","hrc","horizons","lake wiritoa composite"
"lawa-100207","The Reservoir West","Overall",570,"C","",29,"C","",0.005,"A",0.0149,"A","A","",1.35,"C","",9.45,"C",18.4,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 38","es","southland","the reservoir west"
"lawa-100208","The Reservoir Centre","Overall",595,"C","",29,"C","",0.005,"A",0.01945,"A","A","",1.39,"C","",9,"C",21,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 38","es","southland","the reservoir centre"
"lawa-100209","Lake Vincent North","Overall",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall 95%ile, have 28",NA,NA," Need 30 values for overall median, have 22",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 24","es","southland","lake vincent north"
"lawa-100210","Lake Vincent Centre","Overall",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA," Need 30 nitrate values for overall median, have 28",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall 95%ile, have 28",NA,NA," Need 30 values for overall median, have 15",NA,NA,NA,NA,NA," Need 30 values for overall median, have 28 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 24","es","southland","lake vincent centre"
"lawa-100215","Lake George SW","Overall",550,"C","",27.5,"C","",0.005,"A",0.015,"A","A","",NA,NA," Need 30 values for overall median, have 20",4.75,"B",83,"D","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 30","es","southland","lake george sw"
"lawa-102689","Lake Waihola at Waihola Mid","Overall",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA," Need 30 nitrate values for overall median, have 18",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall 95%ile, have 18",NA,NA,"",NA,NA,NA,NA,NA," Need 30 values for overall median, have 18 Need 30 values for overall Max. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 18","orc","otago","lake waihola at waihola mid"
"orc-00027","Lake Dunstan at Dead Mans Point","Overall",70,"A","",7,"A","",0.005,"A",0.0249,"A","A","",NA,NA,"",1.2,"A",2.76,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 52","orc","otago","lake dunstan at dead mans point"
"orc-00028","Lake Hawea Outflow at Dam","Overall",42,"A","",15,"B","",0.005,"A",0.0244,"A","A","",NA,NA,"",0.98,"A",1.5,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 43","orc","otago","lake hawea outflow at dam"
"orc-00031","Lake Hayes at Bendemeer Bay","Overall",290,"B","",28,"C","",0.006,"A",0.1135,"B","B","",NA,NA,"",4.9,"B",31.4,"C","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 42","orc","otago","lake hayes"
"orc-00033","Lake Johnson at South Beach huts","Overall",935,"D","",47,"C","",0.015,"A",0.377,"B","B","",NA,NA,"",12.5,"D",59.2,"C","D","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 42","orc","otago","lake johnson"
"orc-00034","Lake Onslow at Boat Ramp","Overall",240,"B","",21,"C","",0.005,"A",0.015,"A","A","",NA,NA,"",1.6,"A",5.35,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 37","orc","otago","lake onslow"
"orc-00035","Lake Tuakitoto at Outlet","Overall",330,"B","",36.3,"C","",0.00775,"A",0.1292,"B","B","",NA,NA,"",0.0039,"A",20.8,"B","B","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 54","orc","otago","lake tuakitoto at outlet"
"orc-00036","Lake Waihola at End of jetty","Overall",460,"B","",42,"C","",0.007,"A",0.031825,"A","A","",NA,NA,"",5.2,"C",23.55,"B","C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 40","orc","otago","lake waihola"
"orc-00037","Lake Wakatipu at Outflow","Overall",45.5,"A","",2.5,"A","",0.005,"A",0.0114,"A","A","",NA,NA,"",0.98,"A",2.24,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 42","orc","otago","lake wakatipu outflow"
"orc-00038","Lake Wanaka at Outlet","Overall",61,"A","",25,"C","",0.005,"A",0.019,"A","A","",NA,NA,"",1.15,"A",2.26,"A","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Need 60 values, have 43","orc","otago","lake wanaka outflow"
