"LawaSiteID","CouncilSiteID","Date","Measurement","Value","Agency"
"NRWQN-00059","NAT-CH02","24-Mar-1993","MCI",103.529411764706,"niwa"
"NRWQN-00055","NAT-CH03","24-Mar-1993","MCI",113.333333333333,"niwa"
"EBOP-00045","NAT-GS04","24-Mar-1993","MCI",98.1818181818182,"niwa"
"MDC-00025","NAT-NN04","24-Mar-1993","MCI",114.761904761905,"niwa"
"ECAN-10028","NAT-CH04","25-Mar-1993","MCI",80,"niwa"
"NRWQN-00058","NAT-NN03","25-Mar-1993","MCI",122,"niwa"
"NRWQN-00037","NAT-NN05","26-Mar-1993","MCI",123.913043478261,"niwa"
"NRWQN-00057","NAT-NN01","29-Mar-1993","MCI",122.592592592593,"niwa"
"NRWQN-00056","NAT-NN02","29-Mar-1993","MCI",136,"niwa"
"NRWQN-00014","NAT-HV03","03-Feb-1994","MCI",89.4117647058823,"niwa"
"NRWQN-00017","NAT-HV05","04-Feb-1994","MCI",103.076923076923,"niwa"
"NRWQN-00016","NAT-HV06","08-Feb-1994","MCI",122.142857142857,"niwa"
"GW-00022","NAT-WN01","08-Feb-1994","MCI",94.5454545454545,"niwa"
"NRWQN-00047","NAT-WN02","08-Feb-1994","MCI",142.083333333333,"niwa"
"NRWQN-00046","NAT-WN03","08-Feb-1994","MCI",107.692307692308,"niwa"
"NRWQN-00048","NAT-WN04","08-Feb-1994","MCI",111.538461538462,"niwa"
"NRWQN-00049","NAT-WN05","08-Feb-1994","MCI",138.461538461538,"niwa"
"EBOP-00045","NAT-GS04","09-Feb-1994","MCI",122.857142857143,"niwa"
"NRWQN-00015","NAT-HV04","09-Feb-1994","MCI",123.478260869565,"niwa"
"HRC-00062","NAT-TU01","09-Feb-1994","MCI",106.315789473684,"niwa"
"NRWQN-00038","NAT-TU02","09-Feb-1994","MCI",102.777777777778,"niwa"
"NRWQN-00013","NAT-HV01","10-Feb-1994","MCI",120,"niwa"
"HBRC-00043","NAT-HV02","10-Feb-1994","MCI",86.6666666666667,"niwa"
"NRWQN-00057","NAT-NN01","15-Feb-1994","MCI",125.357142857143,"niwa"
"NRC-10008","NAT-WH01","15-Feb-1994","MCI",118.8,"niwa"
"NRWQN-00023","NAT-WH02","15-Feb-1994","MCI",81.1111111111111,"niwa"
