Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
WGG000500,14-Feb-96,36,0.012,0.8,1.83,11.2,11,121,0.005,470,580,480,0.58,0.37,8.6,2,18.6,0.565,0.025,1.1,0.028,0.006,,0.058,0.012,0.001
WKH000500,14-Feb-96,50,0.0015,0.25,3.8,12.3,10.2,103,0.019,250,530,260,3.15,0.02,8.1,1,14.9,0.121,0.029,0.4,0.022,0.005,,0.068,0.014,0
MGH000950,13-Mar-96,55,0.012,0.5,2.45,12.9,10.2,105,0.002,51,34,51,3.2,0.04,8,1,16,0.101,0.008,2.4,0.055,0.012,,0.036,0.007,0
MRK000420,13-Mar-96,64,0.012,0.6,3.03,19.2,10.1,96,0.002,1200,370,1200,0.41,0.56,7.8,1,12.8,0.592,0.01,1.2,0.018,0.003,,0.031,0.009,0
PAT000200,13-Mar-96,26,0.006,0.25,4.8,7.3,10.8,99,0.014,16,31,17,0.142,0.14,7.6,1,9.1,0.271,0.023,0.4,0.01,0.002,,0.042,0.008,0
PAT000360,13-Mar-96,32,0.016,0.8,2.28,10.4,11.6,114,0.044,140,160,140,2.37,0.63,8.8,1,13.2,0.74,0.072,1.2,0.019,0.004,,0.059,0.012,0
PNH000200,13-Mar-96,25,0.005,0.25,2.03,8.5,10.3,103,0.026,130,140,130,0.232,0.005,7.8,3,13.8,0.301,0.041,0.8,0.019,0.004,,0.094,0.021,0
PNH000900,13-Mar-96,38,0.027,0.8,2.55,14,10.2,103,0.026,580,1600,580,0.309,0.12,7.8,2,15.7,0.543,0.054,1.2,0.042,0.007,,0.061,0.012,0
STY000300,13-Mar-96,48,0.003,0.25,12.25,11.7,10.8,102,0.012,3,7,3,2.8,0.02,8,1,11.7,0.031,0.02,0.2,0.004,0.001,,0.066,0.01,0
WGG000500,13-Mar-96,36,0.009,0.8,3.08,10.9,11.6,113,0.002,230,160,230,0.491,0.31,8.4,1,13.1,0.342,0.014,0.9,0.019,0.005,,0.082,0.017,0.001
WKH000500,13-Mar-96,64,0.0015,0.25,6.08,15.2,10.8,101,0.019,77,210,77,2.51,0.02,8.1,1,11.3,0.121,0.029,0.5,0.009,0.002,,0.054,0.009,0
MGH000950,10-Apr-96,31,0.016,1.3,0.41,8.7,9.9,98,0.004,1100,400,1200,18.58,0.1,7.5,25,14.1,0.611,0.05,15,0.054,0.011,,0.063,0.013,0
MRK000420,10-Apr-96,28,0.13,1.4,0.8,10.8,10.2,98,0.012,3700,1100,3900,2.48,0.74,7.5,6,13.3,1.264,0.078,3.3,0.037,0.007,,0.054,0.013,0.001
PAT000200,10-Apr-96,14,0.004,0.25,4.45,4.7,10.5,99,0.01,12,9,12,0.438,0.03,7.2,1,10.3,0.071,0.018,0.5,0.032,0.007,,0.051,0.012,0.001
PAT000360,10-Apr-96,21,0.08,1.1,1.1,8.6,10.2,101,0.032,290,220,300,6.92,0.76,7.6,4,13.6,1.056,0.066,1.9,0.031,0.007,,0.037,0.008,0.001
PNH000200,10-Apr-96,18,0.009,0.25,1.5,9.2,10,98,0.017,110,46,120,0.664,0.09,7.7,3,12.9,0.191,0.039,1.8,0.05,0.01,,0.049,0.01,0
PNH000900,10-Apr-96,22,0.057,1,0.9,14.6,10.2,98,0.044,350,580,350,1.328,0.71,7.6,7,13.6,1.249,0.091,2.2,0.061,0.013,,0.086,0.018,0.003
STY000300,10-Apr-96,27,0.0015,0.25,4.05,7.2,10.9,101,0.005,12,8,12,4.7,0.03,7.8,1,11.2,0.041,0.016,0.4,0.016,0.003,,0.041,0.001,0
WGG000500,10-Apr-96,21,0.115,1.3,0.8,8.2,10.5,103,0.023,790,410,830,2.26,0.72,7.7,6,13.2,1.348,0.078,2.7,0.047,0.01,,0.05,0.011,0.002
WKH000500,10-Apr-96,26,0.0015,0.25,2.2,8.1,10.6,100,0.002,340,180,360,10.4,0.25,7.7,1,11.7,0.394,0.027,0.8,0.033,0.008,,0.062,0.014,0
MGH000950,08-May-96,43,0.012,0.25,1.75,10.7,10.7,101,0.002,120,31,120,5.94,0.12,7.8,1,12,0.212,0.012,2,0.048,0.009,,0.059,0.014,0.002
MRK000420,08-May-96,42,0.005,0.25,3.66,15,10.3,100,0.004,1200,160,1200,1.06,0.95,7.6,1,13.7,1.123,0.012,1,0.021,0.004,,0.041,0.008,0
PAT000200,08-May-96,25,0.0015,0.25,3.88,6.8,10.8,99,0.015,11,7,11,0.164,0.02,7.6,1,9.1,0.171,0.027,0.6,0.012,0.002,,0.077,0.017,0
PAT000360,08-May-96,29,0.026,0.6,1.82,10.2,10.5,101,0.023,180,88,180,3.65,0.87,7.7,1,12.2,0.964,0.041,1,0.018,0.003,,0.028,0.018,0.001
PNH000200,08-May-96,25,0.0015,0.25,1.66,8.9,11,105,0.025,150,60,150,0.278,0.005,8,1,12,0.271,0.039,1,0.023,0.004,,0.05,0.01,0.002
PNH000900,08-May-96,37,0.021,0.8,2.14,15.2,10.8,104,0.032,300,220,300,0.493,0.25,8,5,13.7,0.454,0.06,1.2,0.037,0.007,,0.054,0.01,0
STY000300,08-May-96,47,0.0015,0.25,5.41,11.5,10.8,100,0.013,27,3,28,2.945,0.005,8.1,1,11.2,0.021,0.019,0.3,0.005,0,,0.039,0.007,0
WGG000500,08-May-96,32,0.0015,0.5,1.83,11.5,11.3,108,0.006,170,63,180,1.22,0.97,8.1,1,12.1,1.037,0.021,1,0.018,0.003,,0.042,0.007,0
WKH000500,08-May-96,60,0.0015,0.25,3.15,14.3,11.3,105,0.021,140,60,150,3.58,0.05,8.2,1,11.2,0.171,0.028,0.6,0.009,0.002,,0.036,0.006,0
MGH000950,12-Jun-96,26,0.025,0.25,0.26,7.8,11.1,96,0.002,,120,390,19.5,0.14,7.4,22,8.2,0.571,0.047,13,0.05,0.01,,0.028,0.006,0
MRK000420,12-Jun-96,28,0.031,0.25,1.685,11.9,11.8,104,0.013,,120,350,4.12,0.97,7.4,3,9.4,1.365,0.025,1.9,0.02,0.004,,0.053,0.012,0.001
PAT000200,12-Jun-96,15,0.008,0.5,4.57,5.2,11.7,96,0.008,,3,9,0.406,0.02,7.3,1,4.6,0.331,0.019,0.7,0.016,0.003,,0.079,0.015,0
PAT000360,12-Jun-96,23,0.126,0.7,2.07,9,11.4,98,0.025,,150,700,6.53,0.79,7.5,2,7.6,1.202,0.058,1.6,0.019,0.003,,0.181,0.049,0.006
PNH000200,12-Jun-96,16,0.037,0.6,0.45,9,,,0.012,,80,600,1.369,0.16,7.3,10,6,0.581,0.063,4.1,0.054,0.011,,0.059,0.011,0.001
PNH000900,12-Jun-96,21,0.161,1.7,0.28,17.9,11.7,98,0.027,,680,1400,3.19,2.41,7.4,33,7.5,3.411,0.232,9.2,0.045,0.009,,0.039,0.007,0
STY000300,12-Jun-96,30,0.005,0.5,5.63,8.2,12.2,100,0.015,,1,17,4.746,0.03,7.8,1,6,0.331,0.018,0.5,0.009,0.002,,0.047,0.009,0
WGG000500,12-Jun-96,26,0.055,0.7,1.04,10.5,12,102,0.011,,270,400,2.96,1.12,7.7,5,7.4,1.483,0.052,2.3,0.021,0.004,,0.049,0.011,0
WKH000500,12-Jun-96,28,0.019,0.25,3.44,8.5,11.8,98,0.019,,54,180,8.45,0.2,7.7,1,6.4,0.342,0.029,0.8,0.022,0.005,,0.039,0.007,0
MGH000950,10-Jul-96,38,0.02,0.9,1.72,10,11.2,94,0.002,,3,84,6.8,0.22,7.6,1,7.1,0.412,0.014,2.7,0.036,0.007,,0.037,0.007,0
MRK000420,10-Jul-96,40,0.019,0.8,3.23,14.5,11.8,105,0.002,,43,220,1.185,1,7.6,1,10,1.093,0.014,1.6,0.014,0.002,,0.04,0.009,0
