Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
PAT000200,11 Dec 2013,21,0.004,0.25,5.2,5.8,10.5,102,0.027,15,7,15,0.208,0.019,7.6,1,11.5,0.1,0.026,0.6,0.016,0.004,,,,
PAT000360,11 Dec 2013,28,0.058,0.7,1.98,9.4,10.3,104,0.037,290,72,300,4.918,1.005,7.7,1,14.5,1.26,0.053,1.5,0.018,0.004,,,,
PNH000200,11 Dec 2013,23,0.011,0.25,1.58,8.8,10.3,102,0.03,130,12,140,0.498,0.038,7.6,1,13.9,0.16,0.04,1.8,0.042,0.008,,,,
PNH000900,11 Dec 2013,37,0.057,1.2,1.58,20.6,10.2,101,0.073,400,320,400,1.4,2.101,7.7,2,15.3,2.46,0.1,2,0.036,0.007,,,,
STY000300,11 Dec 2013,34,0.0015,0.25,2.9,8.5,10.7,102,0.022,16,16,16,3.787,0.019,7.9,3,12.7,0.09,0.025,1.3,0.011,0.002,,,,
WGG000500,11 Dec 2013,30,0.013,0.6,1.09,11,10.4,104,0.032,170,50,180,2.5,1.534,7.8,4,14.3,1.58,0.062,1.5,0.015,0.003,,,,
WGG000900,11 Dec 2013,37,0.026,1,1.11,14.6,10.1,103,0.053,260,110,260,7.68,1.807,7.8,7,16.3,2.26,0.08,2.6,0.023,0.005,,,,
WKH000500,11 Dec 2013,44,0.012,0.25,2.81,11.3,10.8,105,0.032,300,220,310,4.618,0.196,8,1,13.4,0.27,0.026,0.7,0.016,0.004,,,,
MGH000950,08 Jan 2014,30,0.017,0.5,0.76,7.7,9.6,104,0.006,820,290,830,9.526,0.088,7.6,7,18,0.23,0.026,4.5,0.06,0.012,,,,
MKW000300,08 Jan 2014,24,0.017,0.6,1.81,7.5,10.2,101,0.03,2000,930,2000,4.002,0.457,7.5,1,13.8,0.57,0.044,1.2,0.036,0.007,,,,
MRK000420,08 Jan 2014,32,0.076,1.1,1.19,11.6,9.8,99,0.019,6300,3500,6400,3.115,0.806,7.5,5,15.4,1.37,0.047,2.2,0.037,0.007,,,,
PAT000200,08 Jan 2014,19,0.008,0.25,6.19,5.3,10.3,102,0.018,21,1,21,0.243,0.009,7.4,1,11.8,0.04,0.015,0.4,0.021,0.004,,,,
PAT000360,08 Jan 2014,29,0.092,0.6,2.31,9,9.9,104,0.039,380,110,380,4.918,0.866,7.6,2,16.1,1.12,0.057,1.4,0.021,0.004,,,,
PNH000200,08 Jan 2014,22,0.013,0.25,1.79,9.1,9.8,102,0.02,250,48,250,0.513,0.039,7.6,1,15.4,0.15,0.02,2.1,0.04,0.008,,,,
PNH000900,08 Jan 2014,36,0.057,1.1,1.78,18.2,9.8,101,0.088,770,610,800,1.059,1.256,7.6,1,16.3,1.66,0.116,1.7,0.039,0.007,,,,
STY000300,08 Jan 2014,33,0.012,0.25,3.25,7.9,10.4,102,0.024,15,4,15,4.524,0.009,7.8,1,13.3,0.02,0.012,0.6,0.012,0.002,,,,
WGG000500,08 Jan 2014,29,0.021,0.6,2.05,10,10,102,0.041,260,100,280,1.665,1.093,7.7,1,15.1,1.28,0.048,1.1,0.018,0.003,,,,
WGG000900,08 Jan 2014,38,0.041,0.9,1.61,14.2,9.9,103,0.065,240,160,260,4.359,1.449,7.7,4,16.5,1.78,0.091,1.7,0.03,0.006,,,,
WKH000500,08 Jan 2014,31,0.02,0.6,1.64,8.1,10.5,103,0.021,1000,150,1000,8.349,0.217,7.7,1,13.5,0.3,0.028,0.8,0.046,0.01,,,,
MGH000950,12 Feb 2014,61,0.0015,0.7,2.06,14,9.3,102,0.0015,69,51,69,2.536,0.009,8.1,4,18.9,0.12,0.01,1.7,0.04,0.007,,,,
MKW000300,12 Feb 2014,31,0.01,0.6,3.01,8.6,9.7,100,0.028,270,800,280,1.066,0.019,7.6,1,15.5,0.13,0.038,0.63,0.015,0.003,,,,
MRK000420,12 Feb 2014,75,0.01,1,2.52,21.3,8.9,93,0.004,1700,1500,1700,0.376,0.328,7.7,1,17.4,0.63,0.018,1.3,0.026,0.005,,,,
PAT000200,12 Feb 2014,22,0.0015,0.25,5.02,6,10.5,103,0.023,8,1,8,0.214,0.009,7.6,1,11.6,0.08,0.036,0.54,0.017,0.003,,,,
PAT000360,12 Feb 2014,30,0.017,1.4,1.74,9.7,11.1,119,0.056,110,93,110,1.302,0.731,8.6,2,17.3,1.02,0.088,1.5,0.029,0.006,,,,
PNH000200,12 Feb 2014,23,0.005,0.25,2.29,8.6,10,103,0.027,84,27,110,0.362,0.009,7.7,1,15,0.05,0.035,1.6,0.03,0.005,,,,
PNH000900,12 Feb 2014,38,0.009,1.1,1.9,15,9.8,101,0.052,210,820,220,0.492,0.427,7.7,1,16.6,0.69,0.07,1.6,0.039,0.007,,,,
STY000300,12 Feb 2014,50,0.0015,0.25,0.25,12,10.4,103,0.016,31,32,31,2.609,0.009,8,26,13.6,0.06,0.064,18,0.004,0,,,,
WGG000500,12 Feb 2014,31,0.017,0.7,2.65,10.2,10.8,111,0.03,190,99,190,0.81,0.674,8.2,1,15.4,0.82,0.048,1.1,0.022,0.005,,,,
WGG000900,12 Feb 2014,43,0.012,1.1,1.71,15.3,10.4,108,0.047,68,91,68,2.434,1.063,8,2,16.8,1.44,0.073,1.5,0.032,0.006,,,,
WKH000500,12 Feb 2014,66,0.009,0.6,3.65,15.5,10.2,105,0.041,200,230,200,2.385,0.019,8,1,15.3,0.09,0.049,0.78,0.01,0.002,,,,
MGH000950,12 Mar 2014,72,0.004,0.7,2,15.7,9.8,105,0.0015,51,84,51,1.811,0.009,8.2,1,18.8,0.14,0.01,1.4,0.028,0.006,,,,
MKW000300,12 Mar 2014,34,0.008,0.25,2.46,9.1,10,99,0.04,290,730,290,0.838,0.019,7.6,1,14.7,0.13,0.048,0.5,0.01,0.003,,,,
MRK000420,12 Mar 2014,108,0.013,0.7,2.34,27.6,8.9,89,0.008,970,460,970,0.184,0.573,7.8,1,15.9,0.79,0.02,1,0.022,0.005,,,,
PAT000200,12 Mar 2014,30,0.005,0.25,5.59,7.6,10.7,102,0.036,11,23,11,0.111,0.019,7.8,1,10.5,0.08,0.039,0.5,0.009,0.003,,,,
PAT000360,12 Mar 2014,38,0.022,1.1,1.81,12.7,11.3,119,0.097,130,230,140,0.662,0.96,8.5,1,16.9,1.28,0.129,1.4,0.024,0.006,,,,
PNH000200,12 Mar 2014,26,0.008,0.25,2.32,8.7,10.3,104,0.053,96,66,96,0.203,0.009,7.9,1,14.5,0.1,0.06,1.2,0.017,0.004,,,,
PNH000900,12 Mar 2014,41,0.023,0.6,2.11,15.4,10,103,0.069,320,4000,330,0.306,0.426,7.9,1,17.1,0.61,0.088,1.6,0.035,0.007,,,,
STY000300,12 Mar 2014,57,0.003,0.25,1.65,13,10.8,103,0.018,1,15,1,2.017,0.009,8.2,1,12.6,0.06,0.028,1.3,0.002,0.001,,,,
WGG000500,12 Mar 2014,42,0.013,0.7,1.66,12.3,10.7,111,0.033,670,310,680,0.34,0.626,7.9,1,16.6,0.77,0.051,1.1,0.02,0.005,,,,
WGG000900,12 Mar 2014,54,0.047,1.1,2.11,18.6,10.1,106,0.069,130,100,130,1.324,1.125,8,2,18.3,1.52,0.1,1.2,0.03,0.006,,,,
WKH000500,12 Mar 2014,73,0.006,0.25,3.21,16.5,10.6,100,0.057,190,230,200,1.705,0.009,8.2,5,13.7,0.07,0.062,0.5,0.005,0.002,,,,
MGH000950,09 Apr 2014,70,0.004,0.7,1.83,15.6,10,105,0.0015,260,190,270,2.793,0.009,8.2,1,17.2,0.14,0.01,1.8,0.03,0.006,,,,
MKW000300,09 Apr 2014,32,0.005,1,1.55,9,9.9,98,0.038,3700,7000,3800,1.7,0.039,7.8,4,14.1,0.09,0.056,1.2,0.023,0.006,,,,
MRK000420,09 Apr 2014,108,0.01,1.2,2.51,28.7,8.7,88,0.007,4100,4200,4100,0.171,0.405,7.9,1,15.4,0.68,0.022,1.2,0.028,0.006,,,,
PAT000200,09 Apr 2014,9,0.004,0.6,1.57,4.6,10.2,100,0.013,96,56,97,0.647,0.009,7.5,1,11.3,0.18,0.026,1.2,0.055,0.011,,,,
PAT000360,09 Apr 2014,28,0.135,5.6,0.35,10.2,9.9,100,0.09,5200,11000,5200,2.859,0.642,7.7,14,14,1.44,0.203,5,0.063,0.015,,,,
PNH000200,09 Apr 2014,8,0.044,1.2,0.58,8.9,10.1,100,0.016,1000,330,1000,1.374,0.077,7.4,12,13.5,0.44,0.065,3.4,0.076,0.015,,,,
PNH000900,09 Apr 2014,12,0.11,2.9,0.31,11.3,10.1,99,0.034,4700,8300,5000,2.121,0.412,7.4,25,14.1,1.2,0.167,8,0.095,0.019,,,,
STY000300,09 Apr 2014,55,0.0015,0.25,1.02,12.6,10.1,101,0.02,50,150,50,2.454,0.009,8.1,5,13.9,0.04,0.027,1.7,0.005,0.001,,,,
WGG000500,09 Apr 2014,21,0.08,3.7,0.47,8.4,10,99,0.041,6000,7700,6100,2.723,0.549,7.6,14,13.5,1.26,0.132,4.4,0.06,0.013,,,,
WGG000900,09 Apr 2014,57,0.127,3,0.79,23.2,9.6,97,0.108,2000,3700,2000,1.988,1.334,7.9,6,15.7,2.22,0.184,3,0.057,0.012,,,,
WKH000500,09 Apr 2014,76,0.0015,0.6,2.37,17.4,10.3,103,0.052,830,800,900,2.305,0.009,8.2,1,14,0.1,0.059,0.8,0.012,0.003,,,,
MGH000950,14 May 2014,36,0.009,0.5,0.65,9.5,10.7,100,0.008,490,180,490,15.174,0.109,7.6,15,11.5,0.24,0.029,6.5,0.042,0.009,,,,
MKW000300,14 May 2014,29,0.008,0.25,2.99,9,10.9,100,0.034,460,270,460,2.275,0.468,7.6,1,10.7,0.49,0.035,1.1,0.008,0.003,,,,
MRK000420,14 May 2014,37,0.082,1.4,1.4,13.8,10.4,100,0.032,2100,20000,2100,1.724,0.746,7.5,4,12.4,1,0.054,2.3,0.018,0.005,,,,
PAT000200,14 May 2014,23,0.0015,0.25,4.77,6,11.2,101,0.032,48,3,48,0.24,0.019,7.5,1,8.3,0.04,0.032,0.65,0.012,0.003,,,,
PAT000360,14 May 2014,28,0.067,1.4,1.61,9.7,11.1,104,0.053,1400,650,1400,4.018,1.022,7.8,3,11.6,1.24,0.066,2,0.013,0.004,,,,
PNH000200,14 May 2014,22,0.025,0.25,1.35,9.5,11,101,0.026,200,46,200,0.612,0.079,7.5,2,9.8,0.17,0.029,3.8,0.027,0.007,,,,
PNH000900,14 May 2014,32,0.097,1.8,0.8,18,10.8,100,0.078,3100,2800,3200,1.191,1.376,7.6,5,11.8,1.86,0.118,4.3,0.035,0.009,,,,
STY000300,14 May 2014,37,0.0015,0.25,3.16,9.3,11.3,101,0.017,110,64,110,3.761,0.029,7.8,1,9.7,0.025,0.017,0.8,0,0.002,,,,
WGG000500,14 May 2014,30,0.01,1.1,1.45,11.1,11.3,105,0.036,280,110,300,1.886,1.369,7.8,3,11,1.57,0.054,2,0.013,0.004,,,,
WGG000900,14 May 2014,37,0.018,1,1.78,14.6,11.2,103,0.036,540,610,540,4.971,1.464,7.8,4,11.3,1.74,0.054,2.3,0.015,0.005,,,,
WKH000500,14 May 2014,51,0.008,0.5,2.32,13.1,11.1,101,0.033,280,160,280,3.815,0.218,7.8,1,10.3,0.26,0.033,0.8,0.007,0.003,,,,
MGH000950,11 Jun 2014,38,0.022,0.9,0.27,9.8,10.4,98,0.008,970,730,1000,25.058,0.138,7.4,49,11.2,0.47,0.094,20,0.055,0.01,,,,
MKW000300,11 Jun 2014,15,0.058,0.9,0.44,5.8,10.8,100,0.03,830,400,830,4.834,0.385,7.3,6,10.6,0.68,0.083,2.6,0.066,0.014,,,,
MRK000420,11 Jun 2014,29,0.1,3,0.32,11.7,10.4,98,0.021,3500,4800,3600,4.706,0.936,7.4,27,12.2,1.91,0.177,8.5,0.037,0.008,,,,
PAT000200,11 Jun 2014,7,0.007,0.25,1.46,3.1,10.8,100,0.008,92,3,92,1.427,0.019,7.1,1,9,0.11,0.019,0.75,0.069,0.013,,,,
PAT000360,11 Jun 2014,20,0.146,2.3,0.45,7.1,10.7,100,0.032,1500,670,1500,10.589,0.685,7.3,8,11.1,1.29,0.107,4.6,0.046,0.009,,,,
PNH000200,11 Jun 2014,8,0.058,1.2,0.32,5.6,10.9,100,0.016,930,400,930,4.381,0.108,7.1,25,9.8,0.66,0.105,7.6,0.135,0.028,,,,
PNH000900,11 Jun 2014,14,0.113,3.2,0.19,10.3,11,100,0.031,2600,4300,2600,8.34,1.202,7.2,69,10.9,2.43,0.31,21,0.107,0.023,,,,
STY000300,11 Jun 2014,14,0.003,0.25,0.81,4.3,11.1,100,0.01,48,21,48,12.526,0.009,7.3,6,9.7,0.06,0.032,2.5,0.049,0.01,,,,
WGG000500,11 Jun 2014,20,0.112,1.6,0.52,6.9,10.8,100,0.03,1300,360,1400,5.014,0.619,7.4,10,10.4,1.22,0.109,3.8,0.051,0.011,,,,
WGG000900,11 Jun 2014,29,0.167,3.6,0.4,11,10.6,98,0.069,830,1300,830,10.961,1.067,7.4,18,11.6,1.9,0.181,5.6,0.048,0.01,,,,
WKH000500,11 Jun 2014,20,0.039,0.7,0.91,5.9,10.9,100,0.016,700,480,700,18.491,0.217,7.4,3,10.5,0.42,0.045,1.5,0.05,0.011,,,,
MGH000950,09 Jul 2014,34,0.018,0.25,1.35,9.1,11.7,100,0.0015,110,100,120,7.716,0.268,7.5,4,7.9,0.35,0.01,2.7,0.038,0.007,,,,
MKW000300,09 Jul 2014,30,0.005,0.25,1.56,8.9,11.5,100,0.019,84,19,84,2.093,0.608,7.5,1,8.6,0.61,0.022,0.75,0.012,0.002,,,,
MRK000420,09 Jul 2014,35,0.019,0.5,1.57,13.6,11,99,0.004,80,74,84,2.041,1.287,7.5,4,10.7,1.4,0.015,1.5,0.02,0.004,,,,
PAT000200,09 Jul 2014,23,0.0015,0.25,5.4,5.9,11.7,101,0.014,25,1,25,0.218,0.039,7.5,1,6.5,0.025,0.017,0.45,0.011,0.002,,,,
PAT000360,09 Jul 2014,27,0.042,0.6,2.2,9.7,11.3,102,0.016,96,24,96,3.765,1.251,7.5,1,9.5,1.32,0.026,1.3,0.013,0.002,,,,
PNH000200,09 Jul 2014,25,0.017,0.25,1.43,9,11.8,101,0.014,150,5,150,0.463,0.108,7.4,1,7.1,0.2,0.058,2.8,0.029,0.006,,,,
PNH000900,09 Jul 2014,34,0.04,1,1.07,19.9,11.6,100,0.021,130,46,130,1.133,2.596,7.5,3,8.9,3.06,0.041,2.4,0.029,0.005,,,,
STY000300,09 Jul 2014,42,0.0015,0.25,4.53,10,11.8,101,0.016,21,1,21,3.28,0.079,7.7,1,7.9,0.11,0.018,0.65,0.006,0.001,,,,
WGG000500,09 Jul 2014,30,0.013,0.6,0.91,11.4,11.3,101,0.014,92,21,96,2.853,1.944,7.5,6,9.3,2.06,0.056,2,0.011,0.002,,,,
WGG000900,09 Jul 2014,36,0.053,1.4,1.03,15.6,11.4,100,0.036,120,46,120,8.767,2.431,7.6,9,9.3,2.74,0.068,2.8,0.017,0.003,,,,
WKH000500,09 Jul 2014,50,0.006,0.25,4.74,12.4,11.6,101,0.023,43,21,43,3.815,0.278,7.7,1,8,0.29,0.025,0.6,0.01,0.002,,,,
MGH000950,13 Aug 2014,17,0.015,0.7,0.1,6.2,11.6,99,0.006,440,180,450,26.002,0.178,7.4,54,9.8,0.54,0.103,23,0.068,0.014,,,,
MKW000300,13 Aug 2014,21,0.014,0.25,2.11,7.1,11.9,101,0.021,80,15,80,3.651,0.438,7.5,1,7.5,0.48,0.032,1.1,0.022,0.004,,,,
MRK000420,13 Aug 2014,32,0.017,0.25,1.5,12.6,11.3,100,0.009,380,80,380,2.334,1.027,7.6,3,9.4,1.14,0.025,1.6,0.019,0.003,,,,
PAT000200,13 Aug 2014,11,0.0015,0.25,6.88,4,11.9,102,0.012,3,1,3,0.606,0.029,7.3,1,5.8,0.025,0.012,0.5,0.027,0.006,,,,
PAT000360,13 Aug 2014,23,0.082,0.5,1.6,8.6,11.2,102,0.02,500,180,850,8.357,1.052,7.5,3,9.4,1.39,0.04,1.6,0.016,0.004,,,,
PNH000200,13 Aug 2014,13,0.02,0.25,1.49,7.4,11.8,102,0.014,17,4,17,1.245,0.089,7.4,3,7.5,0.21,0.022,2.5,0.057,0.011,,,,
PNH000900,13 Aug 2014,24,0.072,0.7,0.82,15.7,11.8,102,0.025,330,60,350,2.797,2.189,7.5,7,8.5,2.52,0.062,3.4,0.043,0.008,,,,
STY000300,13 Aug 2014,26,0.0015,0.25,0.16,7.3,12.1,102,0.014,1,1,1,5.807,0.029,7.7,54,7,0.025,0.096,27,0.013,0.003,,,,
WGG000500,13 Aug 2014,25,0.038,0.25,1.33,10,11.4,102,0.023,200,51,200,4.125,1.535,7.6,6,9.2,1.79,0.046,2.1,0.015,0.003,,,,
WGG000900,13 Aug 2014,33,0.127,1.4,0.79,15.1,11.4,101,0.041,410,74,410,11.926,2.189,7.6,12,9.7,3.02,0.094,4,0.024,0.006,,,,
WKH000500,13 Aug 2014,24,0.009,0.25,1.79,7.3,12.1,103,0.016,130,84,130,10.191,0.139,7.7,1,7.2,0.18,0.023,0.8,0.02,0.004,,,,
MGH000950,10 Sep 2014,49,0.009,0.25,1.88,11.9,11.5,108,0.007,26,16,28,3.426,0.088,8.2,1,12.4,0.19,0.011,2.4,0.045,0.009,,,,
MKW000300,10 Sep 2014,32,0.008,0.25,2.82,8.8,11.6,103,0.02,590,48,590,1.228,0.059,7.7,1,9.6,0.13,0.022,0.7,0.012,0.002,,,,
MRK000420,10 Sep 2014,57,0.008,0.5,2.04,18.2,11.7,103,0.009,1000,230,1000,0.476,0.727,7.8,1,11.3,1,0.013,1.2,0.023,0.004,,,,
PAT000200,10 Sep 2014,24,0.0015,0.25,5.41,6.7,11.8,103,0.024,17,4,17,0.175,0.019,7.7,1,7.2,0.08,0.024,0.65,0.01,0.002,,,,
PAT000360,10 Sep 2014,30,0.026,0.8,1.56,9.9,12.4,115,0.033,54,31,54,1.509,0.776,8.7,1,11.1,0.94,0.042,1.4,0.018,0.004,,,,
PNH000200,10 Sep 2014,23,0.007,0.25,1.6,8.8,11.6,103,0.027,24,4,24,0.305,0.029,7.8,1,9,0.08,0.03,2.1,0.023,0.005,,,,
PNH000900,10 Sep 2014,39,0.114,1.2,1.5,19.1,11.4,102,0.062,1200,7300,1200,0.582,1.64,7.8,1,10.8,2,0.086,2.3,0.032,0.006,,,,
STY000300,10 Sep 2014,52,0.0015,0.25,3.23,12.3,11.6,104,0.019,1,62,1,2.4,0.009,8.1,1,9.7,0.025,0.019,0.65,0.005,0.001,,,,
WGG000500,10 Sep 2014,33,0.012,0.25,2.14,11.6,12,110,0.025,14,15,14,1.087,1.273,8.1,1,10.6,1.32,0.025,1.3,0.015,0.003,,,,
WGG000900,10 Sep 2014,42,0.021,1,1.61,17.9,12.3,113,0.048,74,94,74,4.057,2.411,8.2,2,11.7,2.53,0.053,2.1,0.024,0.005,,,,
WKH000500,10 Sep 2014,67,0.0015,0.25,2.81,15.9,12.4,110,0.043,170,240,170,2.06,0.019,8.2,1,9.4,0.05,0.048,1,0.009,0.002,,,,
MGH000950,08 Oct 2014,32,0.016,0.25,0.82,8.5,10.9,105,0.009,80,17,80,8.052,0.078,7.6,3,12.8,0.23,0.022,3.2,0.049,0.009,,,,
MKW000300,08 Oct 2014,30,0.026,0.25,2.47,8.4,10.9,100,0.027,340,100,340,2.54,0.427,7.7,1,10.5,0.52,0.03,0.9,0.014,0.003,,,,
MRK000420,08 Oct 2014,36,0.024,0.5,1.77,12.7,10.5,99,0.019,800,430,800,1.91,0.825,7.7,4,12.1,1.11,0.031,1.5,0.018,0.004,,,,
PAT000200,08 Oct 2014,16,0.004,0.25,5.7,5.3,11.3,102,0.023,4,1,4,0.326,0.009,7.5,1,7.6,0.11,0.024,0.5,0.012,0.002,,,,
PAT000360,08 Oct 2014,24,0.039,0.6,2.12,9.1,11.1,109,0.03,60,80,60,5.889,0.891,7.7,1,13,1.18,0.036,1.2,0.014,0.003,,,,
PNH000200,08 Oct 2014,21,0.024,0.25,1.5,8.7,11.2,103,0.027,40,1,58,0.477,0.039,7.7,1,10,0.16,0.029,2.4,0.028,0.006,,,,
PNH000900,08 Oct 2014,34,0.11,0.7,1.23,18.5,10.9,101,0.055,340,62,350,1.107,1.964,7.7,3,11.8,2.43,0.071,2.1,0.029,0.006,,,,
STY000300,08 Oct 2014,39,0.004,0.25,3.26,9.8,11.5,103,0.028,5,8,5,3.329,0.009,7.9,1,9.3,0.025,0.028,0.65,0.006,0.001,,,,
WGG000500,08 Oct 2014,29,0.033,0.25,2.13,10.6,11.1,108,0.028,20,17,20,3.007,1.541,7.9,2,12.7,1.81,0.042,1.2,0.012,0.003,,,,
WGG000900,08 Oct 2014,36,0.046,0.8,1.21,15.5,10.8,103,0.05,190,46,200,9.124,2.13,7.8,5,12.2,2.56,0.07,2.3,0.021,0.004,,,,
WKH000500,08 Oct 2014,44,0.016,0.25,2.62,11.1,11.2,102,0.025,460,140,480,5.341,0.218,7.9,1,9.8,0.32,0.031,0.8,0.012,0.003,,,,
MGH000950,12 Nov 2014,37,0.018,0.5,0.61,9.3,10.2,102,0.006,560,60,570,12.337,0.109,7.6,8,13.7,0.49,0.024,3.8,0.044,0.009,,,,
MKW000300,12 Nov 2014,29,0.015,0.9,2.05,8.6,10.6,101,0.03,2700,250,2700,2.594,0.474,7.6,1,11.5,0.61,0.05,1.4,0.025,0.006,,,,
MRK000420,12 Nov 2014,41,0.062,1.5,1.15,14,10.3,99,0.018,5800,830,5800,1.609,0.977,7.6,5,12.1,1.26,0.051,2.2,0.028,0.006,,,,
PAT000200,12 Nov 2014,21,0.003,0.25,3.24,5.5,11.1,102,0.017,96,5,96,0.303,0.009,7.5,1,7.7,0.025,0.021,0.65,0.019,0.004,,,,
PAT000360,12 Nov 2014,31,0.086,0.9,1.57,9.5,10.8,106,0.032,160,80,160,4.167,0.935,7.6,2,12.2,1.17,0.051,1.6,0.017,0.004,,,,
PNH000200,12 Nov 2014,13,0.011,0.6,1.01,6.4,11,103,0.015,2100,140,2100,1.588,0.018,7.4,3,9.8,0.21,0.038,2.3,0.079,0.017,,,,
PNH000900,12 Nov 2014,31,0.168,3.8,0.3,14.4,10.8,102,0.044,21000,4200,21000,2.579,1.019,7.5,15,11.7,1.98,0.174,14,0.057,0.012,,,,
STY000300,12 Nov 2014,21,0.003,0.25,1.02,5.6,11.3,102,0.01,31,7,33,7.78,0.009,7.6,12,8.7,0.025,0.022,3.2,0.038,0.009,,,,
WGG000500,12 Nov 2014,31,0.056,1.1,1.22,10.7,10.8,106,0.025,330,24,340,2.481,1.187,7.8,4,12.3,1.62,0.056,1.8,0.016,0.004,,,,
WGG000900,12 Nov 2014,41,0.053,1.5,1.13,15.9,10.4,104,0.043,860,180,860,6.399,1.718,7.7,7,14.3,2.26,0.084,2.3,0.026,0.005,,,,
WKH000500,12 Nov 2014,25,0.018,0.8,1.08,6.8,11.2,103,0.016,3000,340,3000,10.728,0.078,7.7,4,9.7,0.26,0.032,1.5,0.042,0.009,,,,
MGH000950,10 Dec 2014,51,0.019,1,0.71,11.8,9.8,106,0.006,220,34,220,3.777,0.017,7.8,1,18.6,0.3,0.016,2.6,0.05,0.01,,,,
MKW000300,10 Dec 2014,31,0.014,0.7,1.96,9,9.8,102,0.031,2200,350,2200,1.34,0.187,7.6,1,16.2,0.25,0.044,1.2,0.016,0.004,,,,
MRK000420,10 Dec 2014,51,0.01,1.7,1.06,16.3,9.6,99,0.006,8100,3200,8300,0.783,0.606,7.6,4,16.6,0.8,0.032,2.5,0.029,0.006,,,,
PAT000200,10 Dec 2014,27,0.009,1.8,2.36,7,10.2,102,0.028,360,44,360,0.163,0.009,7.6,1,12.5,0.06,0.037,0.85,0.022,0.005,,,,
PAT000360,10 Dec 2014,33,0.042,1.7,1.1,10.3,10.2,108,0.058,800,210,800,1.374,0.776,7.7,3,16.6,1.04,0.089,2.1,0.028,0.006,,,,
PNH000200,10 Dec 2014,24,0.021,0.25,1.74,8.6,9.8,103,0.023,240,28,250,0.409,0.028,7.6,1,15.8,0.07,0.029,2.6,0.033,0.007,,,,
PNH000900,10 Dec 2014,38,0.034,1.4,1.32,17.1,9.7,101,0.068,830,480,830,0.693,1.277,7.6,2,17,1.48,0.102,2.3,0.04,0.008,,,,
STY000300,10 Dec 2014,38,0.006,0.25,1.6,9.6,10.4,102,0.016,640,250,640,4.114,0.019,7.8,7,13.1,0.025,0.028,2,0.008,0.002,,,,
WGG000500,10 Dec 2014,36,0.03,1.2,1.3,11.9,9.8,103,0.036,460,160,470,0.851,1.084,7.7,4,16.2,1.24,0.059,2.1,0.022,0.005,,,,
WGG000900,10 Dec 2014,48,0.026,1.2,1.04,18.1,9.4,99,0.051,310,210,310,2.786,1.794,7.7,5,17.6,2.14,0.087,2.5,0.035,0.008,,,,
WKH000500,10 Dec 2014,56,0.013,0.8,1.94,13.9,10,102,0.03,3000,640,3000,3.4,0.047,7.8,1,14.9,0.11,0.044,1.2,0.015,0.003,,,,
MGH000950,14 Jan 2015,60,0.0015,0.8,1.39,13.7,9.4,109,0.005,23,33,23,2.25,0.009,8.2,3,21.8,0.1,0.012,2.1,0.047,0.009,,,,
MKW000300,14 Jan 2015,32,0.006,0.25,3.7,9,9.7,103,0.032,360,180,360,1.097,0.059,7.5,1,17,0.11,0.038,0.6,0.016,0.004,,,,
MRK000420,14 Jan 2015,70,0.0015,0.7,2.35,20,9.1,97,0.005,370,260,390,0.351,0.356,7.7,1,17.8,0.49,0.013,1.2,0.028,0.006,,,,
PAT000200,14 Jan 2015,27,0.0015,0.25,4.44,7.3,9.7,100,0.032,54,23,56,0.124,0.009,7.7,1,13.6,0.025,0.038,0.5,0.015,0.003,,,,
PAT000360,14 Jan 2015,32,0.008,1.1,2.35,10.6,10.2,113,0.063,40,54,40,1.112,0.714,8.2,2,19.3,0.98,0.088,1.6,0.029,0.006,,,,
PNH000200,14 Jan 2015,25,0.0015,0.25,3.2,8.6,9.5,101,0.033,74,17,77,0.242,0.009,7.7,1,16.6,0.025,0.038,1.2,0.024,0.005,,,,
PNH000900,14 Jan 2015,42,0.026,1,2.12,17.4,9.3,100,0.084,1200,3600,1200,0.385,0.984,7.7,2,18.7,1.34,0.121,2,0.042,0.009,,,,
STY000300,14 Jan 2015,52,0.006,0.25,5.47,12.4,10.4,100,0.02,5,8,5,2.355,0.009,8,1,13.8,0.025,0.024,0.5,0.005,0.001,,,,
WGG000500,14 Jan 2015,39,0.009,0.9,2.28,12,10.1,111,0.035,190,44,190,0.478,0.554,8.1,1,18.6,0.78,0.054,1.3,0.026,0.006,,,,
WGG000900,14 Jan 2015,56,0.009,1,1.98,19,10.1,113,0.055,120,46,120,1.563,0.928,8,2,20.8,1.29,0.079,1.6,0.04,0.008,,,,
WKH000500,14 Jan 2015,66,0.0015,0.25,3.35,15.7,10.3,107,0.037,140,43,140,2.08,0.019,8.1,1,16.2,0.025,0.044,0.6,0.011,0.003,,,,
MGH000950,11 Feb 2015,61,0.012,0.9,2.2,14.2,9.7,107,0.005,62,95,62,1.976,0.009,8,3,20.1,0.27,0.014,2,0.054,0.011,,,,
