"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"Lake Manapouri near Frazers Beach Top","lake manapouri near frazers beach top","lawa-100264","54735","Stratified","Glacial","southland","es","waiau river",-45.5611292944049,167.621338908739,"14-Aug-2020"
"Lake Te Anau at Blue Gum Point Top","lake te anau at blue gum point top","lawa-100266","52566","Stratified","Glacial","southland","es","waiau river",-45.4079561586162,167.695670735333,"14-Aug-2020"
"Lake Vincent Centre","lake vincent centre","lawa-100210","43649","Polymictic","Unknown","southland","es","coastal",-46.5965374410277,168.830783295523,"14-Aug-2020"
"Lake Vincent North","lake vincent north","lawa-100209","43649","Polymictic","Unknown","southland","es","coastal",-46.5933716650854,168.826169422456,"14-Aug-2020"
"The Reservoir Centre","the reservoir centre","lawa-100208","43668","Polymictic","Unknown","southland","es","coastal",-46.6611203493517,169.061400282069,"14-Aug-2020"
"The Reservoir West","the reservoir west","lawa-100207","43668","Polymictic","Unknown","southland","es","coastal",-46.6618409966669,169.053072648876,"14-Aug-2020"
"Waiau Lagoon Middle","waiau lagoon middle","lawa-102220","26562","Icoll","Shoreline","southland","es","waiau river",-46.2117497673252,167.64439232452,"14-Aug-2020"
"Waiau Lagoon Monitoring Station","waiau lagoon monitoring station","lawa-102221","26562","Icoll","Shoreline","southland","es","waiau river",-46.214998210375,167.650118363706,"14-Aug-2020"
"Waiau Lagoon opp boat ramp","waiau lagoon opp boat ramp","lawa-102219","26562","Icoll","Shoreline","southland","es","waiau river",-46.2062165054487,167.634689163761,"14-Aug-2020"
"Lake Kohangatera","lake kohangatera","gw-00164","4","Icoll","Shoreline","wellington","gwrc","unstated",-41.37428665,174.86451878,"14-Aug-2020"
"Lake Wairarapa Site 2","lake wairarapa site 2","gw-00258","1708","Polymictic","Riverine","wellington","gwrc","unstated",-41.17632023,175.28475171,"14-Aug-2020"
"Lake Wairarapa Alsops Bay","lake wairarapa alsops bay","gw-00262","1708","Brackish","Riverine","wellington","gwrc","unstated",-41.28214762,175.16811863,"14-Aug-2020"
"Lake Onoke 1","lake onoke site 1","gw-00257","1","Icoll","Shoreline","wellington","gwrc","unstated",-41.37072987,175.13879965,"14-Aug-2020"
