"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake rotoma site 1",40102,2013,2.3,"Stratified","Volcanic"
"lake rotoma site 1",40102,2014,2.5,"Stratified","Volcanic"
"lake rotoma site 1",40102,2015,2.4,"Stratified","Volcanic"
"lake rotoma site 1",40102,2016,2.3,"Stratified","Volcanic"
"lake rotoma site 1",40102,2017,2.4,"Stratified","Volcanic"
"lake rotoma site 1",40102,2018,2.5,"Stratified","Volcanic"
"lake rotoma site 1",40102,2019,2.5,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2004,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2005,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2006,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2007,3.9,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2008,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2009,3.9,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2010,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2011,4.1,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2012,3.9,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2013,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2014,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2015,4,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2016,3.8,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2017,4,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2018,4.1,"Stratified","Volcanic"
"lake rotomahana site 2",54733,2019,3.8,"Stratified","Volcanic"
"lake rotorua site 5",11133,2004,4.9,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2005,4.5,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2006,4.9,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2007,4.7,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2008,4.5,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2009,4.6,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2010,4.4,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2011,4.2,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2012,3.9,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2013,4.2,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2014,4.1,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2015,4.2,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2016,4.3,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2017,4.2,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2018,4.1,"Polymictic","Volcanic"
"lake rotorua site 5",11133,2019,4.2,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2004,5,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2005,4.5,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2006,4.9,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2007,4.7,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2008,4.5,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2009,4.6,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2010,4.5,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2011,4.2,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2012,3.9,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2013,4.3,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2014,4.1,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2015,4.2,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2016,4.3,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2017,4.1,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2018,4.1,"Polymictic","Volcanic"
"lake rotorua site 2",11133,2019,4.3,"Polymictic","Volcanic"
"lake tarawera site 5",54732,2004,2.8,"Stratified","Volcanic"
"lake tarawera site 5",54732,2005,2.8,"Stratified","Volcanic"
"lake tarawera site 5",54732,2006,2.9,"Stratified","Volcanic"
"lake tarawera site 5",54732,2007,2.9,"Stratified","Volcanic"
"lake tarawera site 5",54732,2008,2.9,"Stratified","Volcanic"
"lake tarawera site 5",54732,2009,2.7,"Stratified","Volcanic"
"lake tarawera site 5",54732,2010,2.7,"Stratified","Volcanic"
"lake tarawera site 5",54732,2011,3,"Stratified","Volcanic"
"lake tarawera site 5",54732,2012,2.9,"Stratified","Volcanic"
"lake tarawera site 5",54732,2013,2.9,"Stratified","Volcanic"
"lake tarawera site 5",54732,2014,3,"Stratified","Volcanic"
"lake tarawera site 5",54732,2015,3.1,"Stratified","Volcanic"
"lake tarawera site 5",54732,2016,3,"Stratified","Volcanic"
"lake tarawera site 5",54732,2017,3,"Stratified","Volcanic"
"lake tarawera site 5",54732,2018,3,"Stratified","Volcanic"
"lake tarawera site 5",54732,2019,2.8,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2004,3,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2005,3.1,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2006,3,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2007,2.9,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2008,3,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2009,3,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2010,2.9,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2011,2.7,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2012,2.8,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2013,2.7,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2014,2.8,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2015,3,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2016,2.6,"Stratified","Volcanic"
"lake tikitapu site 1",15312,2017,2.7,"Stratified","Volcanic"
