"LAWAID","Parameter","Trend15"
"ecan-00354","ECOLI",-99
"ecan-00355","TP",-99
"ecan-00355","NH4N",-99
"ecan-00355","TN",-99
"ecan-00355","Secchi",-99
"ecan-00355","CHLA",-99
"ecan-00355","ECOLI",-99
"lawa-101985","TP",-99
"lawa-101985","NH4N",-99
"lawa-101985","TN",-99
"lawa-101985","Secchi",-99
"lawa-101985","CHLA",-99
"lawa-101985","ECOLI",-99
"ecan-00363","TP",-99
"ecan-00363","NH4N",-99
"ecan-00363","TN",-99
"ecan-00363","Secchi",-99
"ecan-00363","CHLA",-99
"ecan-00363","ECOLI",-99
"ecan-00357","TP",-99
"ecan-00357","NH4N",-99
"ecan-00357","TN",-99
"ecan-00357","Secchi",-99
"ecan-00357","CHLA",-99
"ecan-00357","ECOLI",-99
"ecan-00358","TP",-99
"ecan-00358","NH4N",-99
"ecan-00358","TN",-99
"ecan-00358","Secchi",-99
"ecan-00358","CHLA",-99
"ecan-00358","ECOLI",-99
"ecan-00359","TP",-99
"ecan-00359","NH4N",-99
"ecan-00359","TN",-99
"ecan-00359","Secchi",-99
"ecan-00359","CHLA",-99
"ecan-00359","ECOLI",-99
"ecan-00367","TP",-99
"ecan-00367","NH4N",-99
"ecan-00367","TN",-99
"ecan-00367","Secchi",-99
"ecan-00367","CHLA",-99
"ecan-00367","ECOLI",-99
"ecan-00368","TP",-99
"ecan-00368","NH4N",-99
"ecan-00368","TN",-99
"ecan-00368","Secchi",-99
"ecan-00368","CHLA",-99
"ecan-00368","ECOLI",-99
"ecan-00349","TP",-99
"ecan-00349","NH4N",-99
"ecan-00349","TN",-99
"ecan-00349","Secchi",-99
"ecan-00349","CHLA",-99
"ecan-00349","ECOLI",-99
"ecan-00351","TP",-99
"ecan-00351","NH4N",-99
"ecan-00351","TN",-99
"ecan-00351","Secchi",-99
"ecan-00351","CHLA",-99
"ecan-00351","ECOLI",-99
"lawa-101983","TP",-99
"lawa-101983","NH4N",-99
"lawa-101983","TN",-99
"lawa-101983","Secchi",-99
"lawa-101983","CHLA",-99
"lawa-101983","ECOLI",-99
"lawa-100208","TP",-99
"lawa-100208","NH4N",-99
"lawa-100208","TN",-99
"lawa-100208","Secchi",-99
"lawa-100208","CHLA",-99
"lawa-100208","ECOLI",-99
"lawa-100207","TP",-99
"lawa-100207","NH4N",-99
"lawa-100207","TN",-99
"lawa-100207","Secchi",-99
"lawa-100207","CHLA",-99
"lawa-100207","ECOLI",-99
"lawa-102220","TP",-99
"lawa-102220","NH4N",-99
"lawa-102220","TN",-99
"lawa-102220","Secchi",-99
"lawa-102220","CHLA",-99
"lawa-102220","ECOLI",-99
"lawa-102221","TP",-99
"lawa-102221","NH4N",-99
"lawa-102221","TN",-99
"lawa-102221","Secchi",-99
"lawa-102221","CHLA",-99
"lawa-102221","ECOLI",-99
"lawa-102219","TP",-99
"lawa-102219","NH4N",-99
"lawa-102219","TN",-99
